block,rot_trt,yearF,names,x
b1,4y,2013,Asym,213.40582901338027
b1,4y,2013,xmid,202.1840961760192
b1,4y,2013,scal,9.772728002031947
b1,2y,2013,Asym,202.41905983064777
b1,2y,2013,xmid,210.72530063840225
b1,2y,2013,scal,11.03851140417631
b2,2y,2013,Asym,200.48911382836238
b2,2y,2013,xmid,209.17488926639572
b2,2y,2013,scal,11.347553614366882
b2,4y,2013,Asym,267.8343782421084
b2,4y,2013,xmid,208.028763779684
b2,4y,2013,scal,15.730438804856522
b3,4y,2013,Asym,240.0297561970237
b3,4y,2013,xmid,206.30889676975974
b3,4y,2013,scal,12.254443878443421
b3,2y,2013,Asym,203.18637300281014
b3,2y,2013,xmid,210.2711867034226
b3,2y,2013,scal,12.217464598256592
b4,2y,2013,Asym,200.39950384122017
b4,2y,2013,xmid,209.08912513224234
b4,2y,2013,scal,9.80411516536057
b4,4y,2013,Asym,302.4519767663306
b4,4y,2013,xmid,214.05489986213206
b4,4y,2013,scal,15.192507570453943
b1,2y,2014,Asym,309.36299591029535
b1,2y,2014,xmid,199.43026132554627
b1,2y,2014,scal,12.503987465718247
b2,2y,2014,Asym,331.3101811303018
b2,2y,2014,xmid,206.24308566466732
b2,2y,2014,scal,17.952491240339192
b3,2y,2014,Asym,354.0891177062945
b3,2y,2014,xmid,210.1099511305141
b3,2y,2014,scal,18.1837568298574
b4,2y,2014,Asym,316.89330516607447
b4,2y,2014,xmid,202.7867603701012
b4,2y,2014,scal,16.45480668095264
b1,4y,2014,Asym,331.22606299509874
b1,4y,2014,xmid,203.7646442610225
b1,4y,2014,scal,16.113607527787
b2,4y,2014,Asym,361.6672864848324
b2,4y,2014,xmid,203.95082283286436
b2,4y,2014,scal,17.852884062396623
b3,4y,2014,Asym,360.32581042933714
b3,4y,2014,xmid,206.2045431806114
b3,4y,2014,scal,17.495374444763588
b4,4y,2014,Asym,352.5271880018398
b4,4y,2014,xmid,205.84946464186694
b4,4y,2014,scal,16.86696764846259
b1,2y,2018,Asym,203.68869807178686
b1,2y,2018,xmid,188.10626490852493
b1,2y,2018,scal,11.907931710510702
b1,4y,2018,Asym,260.3968581670132
b1,4y,2018,xmid,194.32797486638776
b1,4y,2018,scal,14.284177363138607
b2,2y,2018,Asym,246.53535496743086
b2,2y,2018,xmid,191.20422315729405
b2,2y,2018,scal,12.770966074544745
b2,4y,2018,Asym,306.3531267356138
b2,4y,2018,xmid,195.49251461697668
b2,4y,2018,scal,12.779560420917303
b3,2y,2018,Asym,245.35897546673073
b3,2y,2018,xmid,192.17273126301492
b3,2y,2018,scal,12.512311338610472
b3,4y,2018,Asym,290.2487370516647
b3,4y,2018,xmid,197.53472290500463
b3,4y,2018,scal,15.136923282630752
b4,2y,2018,Asym,254.41647380564396
b4,2y,2018,xmid,193.3943448969945
b4,2y,2018,scal,13.189121878156865
b4,4y,2018,Asym,286.7103599104694
b4,4y,2018,xmid,195.42076719844155
b4,4y,2018,scal,12.719287292119677
b1,4y,2019,Asym,315.72049049549696
b1,4y,2019,xmid,218.67907736179438
b1,4y,2019,scal,14.994816733765765
b1,2y,2019,Asym,310.12114695715184
b1,2y,2019,xmid,217.3070769069217
b1,2y,2019,scal,13.801166546120033
b2,4y,2019,Asym,313.2880219999125
b2,4y,2019,xmid,225.46378298312405
b2,4y,2019,scal,19.83427335975394
b2,2y,2019,Asym,309.7792544654577
b2,2y,2019,xmid,218.47376247038878
b2,2y,2019,scal,16.317493982488422
b3,4y,2019,Asym,314.1013936969478
b3,4y,2019,xmid,218.31648008295468
b3,4y,2019,scal,15.628768849885605
b3,2y,2019,Asym,295.29548416320665
b3,2y,2019,xmid,214.2073712643915
b3,2y,2019,scal,11.527771348196408
b4,4y,2019,Asym,309.10622348542626
b4,4y,2019,xmid,217.14269566942116
b4,4y,2019,scal,13.994352659014917
b4,2y,2019,Asym,350.9449668994735
b4,2y,2019,xmid,220.68312900653586
b4,2y,2019,scal,16.431904134693823
b1,2y,2020,Asym,259.31551278438735
b1,2y,2020,xmid,203.62194298650684
b1,2y,2020,scal,12.808224819344906
b1,4y,2020,Asym,295.45878217006447
b1,4y,2020,xmid,203.63478903578957
b1,4y,2020,scal,12.962822832453993
b2,4y,2020,Asym,319.96721313450297
b2,4y,2020,xmid,208.31367707264064
b2,4y,2020,scal,12.635789356846157
b2,2y,2020,Asym,294.75094477383965
b2,2y,2020,xmid,203.6829411628077
b2,2y,2020,scal,11.932696467587004
b3,2y,2020,Asym,297.8076213841714
b3,2y,2020,xmid,208.010969845925
b3,2y,2020,scal,13.107397734076239
b3,4y,2020,Asym,314.06250836737917
b3,4y,2020,xmid,210.2834323966941
b3,4y,2020,scal,13.24747671466243
b4,4y,2020,Asym,267.80897993557505
b4,4y,2020,xmid,202.9256910871515
b4,4y,2020,scal,11.693268723076704
b4,2y,2020,Asym,304.37581872302854
b4,2y,2020,xmid,206.48741894387925
b4,2y,2020,scal,11.820390491260293
