year_f,rot_trt,parameter,value,lo95,hi95
2013,2y,Asym,201,196.8,205.3
2013,2y,scal,10.9,9.9,11.9
2013,2y,xmid,209.6,208.6,210.6
2013,4y,Asym,253.4,243.9,263.5
2013,4y,scal,13.3,11.5,15.3
2013,4y,xmid,207.3,205.2,209.5
2014,2y,Asym,325.6,316.3,335.7
2014,2y,scal,16.3,15,17.6
2014,2y,xmid,204.2,202.5,206
2014,4y,Asym,351.4,340.7,363
2014,4y,scal,17.1,15.8,18.6
2014,4y,xmid,204.9,203.1,206.9
2018,2y,Asym,237.4,231.3,243.5
2018,2y,scal,12.6,11.6,13.7
2018,2y,xmid,191.3,190.1,192.5
2018,4y,Asym,285.8,280.1,291.6
2018,4y,scal,13.7,12.8,14.8
2018,4y,xmid,195.7,194.6,196.8
2019,2y,Asym,315.6,306.5,325
2019,2y,scal,14.6,13.3,15.9
2019,2y,xmid,217.5,215.8,219.4
2019,4y,Asym,311.2,299.4,323.7
2019,4y,scal,15.9,14.2,17.8
2019,4y,xmid,219.3,216.9,222
2020,2y,Asym,289,282.8,295.4
2020,2y,scal,12.4,9.7,14.7
2020,2y,xmid,205.5,204.3,206.8
2020,4y,Asym,299.2,292,306.7
2020,4y,scal,12.7,9.5,15.2
2020,4y,xmid,206.4,205,207.9
