plot_id,year,plot,block,rot_trt,samp_time,depth,roots_kgha
2020_34,Y2020,34,b3,2y,beg,0-15cm,59.34343434343434
2020_34,Y2020,34,b3,2y,beg,15-30cm,53.661616161616166
2020_34,Y2020,34,b3,2y,beg,30-45cm,53.030303030303024
2020_34,Y2020,34,b3,2y,beg,45-60cm,15.467171717171716
2020_39,Y2020,39,b3,4y,beg,0-15cm,720.959595959596
2020_39,Y2020,39,b3,4y,beg,15-30cm,163.8257575757576
2020_39,Y2020,39,b3,4y,beg,30-45cm,83.01767676767678
2020_39,Y2020,39,b3,4y,beg,45-60cm,14.520202020202019
2020_41,Y2020,41,b4,4y,beg,0-15cm,1827.020202020202
2020_41,Y2020,41,b4,4y,beg,15-30cm,178.66161616161617
2020_41,Y2020,41,b4,4y,beg,30-45cm,35.66919191919192
2020_41,Y2020,41,b4,4y,beg,45-60cm,6.9444444444444455
2020_44,Y2020,44,b4,2y,beg,0-15cm,104.16666666666664
2020_44,Y2020,44,b4,2y,beg,15-30cm,44.19191919191919
2020_44,Y2020,44,b4,2y,beg,30-45cm,5.997474747474747
2020_44,Y2020,44,b4,2y,beg,45-60cm,5.05050505050505
2020_13,Y2020,13,b1,2y,end,0-15cm,332.0707070707071
2020_13,Y2020,13,b1,2y,end,15-30cm,370.89646464646466
2020_13,Y2020,13,b1,2y,end,30-45cm,118.37121212121211
2020_13,Y2020,13,b1,2y,end,45-60cm,119.00252525252525
2020_17,Y2020,17,b1,4y,end,0-15cm,263.88888888888886
2020_17,Y2020,17,b1,4y,end,15-30cm,638.5732323232323
2020_17,Y2020,17,b1,4y,end,30-45cm,93.11868686868685
2020_17,Y2020,17,b1,4y,end,45-60cm,38.19444444444444
2020_22,Y2020,22,b2,4y,end,0-15cm,121.52777777777777
2020_22,Y2020,22,b2,4y,end,15-30cm,NA
2020_22,Y2020,22,b2,4y,end,30-45cm,NA
2020_22,Y2020,22,b2,4y,end,45-60cm,NA
2020_24,Y2020,24,b2,2y,end,0-15cm,848.4848484848484
2020_24,Y2020,24,b2,2y,end,15-30cm,145.83333333333334
2020_24,Y2020,24,b2,2y,end,30-45cm,273.98989898989896
2020_24,Y2020,24,b2,2y,end,45-60cm,70.39141414141415
2020_34,Y2020,34,b3,2y,end,0-15cm,357.32323232323233
2020_34,Y2020,34,b3,2y,end,15-30cm,164.14141414141412
2020_34,Y2020,34,b3,2y,end,30-45cm,163.8257575757576
2020_34,Y2020,34,b3,2y,end,45-60cm,49.558080808080796
2020_39,Y2020,39,b3,4y,end,0-15cm,309.65909090909093
2020_39,Y2020,39,b3,4y,end,15-30cm,95.01262626262626
