samp_time,rot_trt,estimate,std.error,df,statistic,p.value
beg,2y,514.559659090909,214.1990064911068,20.011299435028462,2.40225044700323,0.026118854563918867
end,2y,1072.8377525252522,214.19900649110656,20.01129943502837,5.008602841347893,6.727705240160167e-5
beg,4y,781.4472853535353,214.19900649110647,20.011299435028313,3.6482302049612025,0.001597518450612187
end,4y,1114.9252946127945,234.34680129064563,20.72581800812044,4.757586997016539,1.0998165809404545e-4
