term,rot1,d1,rot2,d2,null.value,estimate,std.error,df,statistic,adj.p.value
rot_trt*depth,(2y,0-15cm),(4y,0-15cm),0,435.84280303030266,151.77646470350012,42.007931878729416,2.871609928994819,0.10470621077038544
rot_trt*depth,(2y,15-30cm),(4y,15-30cm),0,-45.013256554253445,158.49946485510316,42.26122292568793,-0.2839962683495721,0.9999912701033231
rot_trt*depth,(2y,30-45cm),(4y,30-45cm),0,-61.05913197512908,158.49946485510304,42.261222925688045,-0.3852324172258126,0.9999303058570208
rot_trt*depth,(2y,45-60cm),(4y,45-60cm),0,-126.1106892141863,158.49946485510304,42.26122292568793,-0.7956537224240732,0.9924664548335769
