rot_trt,depth,estimate,std.error,df,statistic,p.value
2y,0-15cm,313.5653409090907,113.57281327830353,31.913845874477506,2.7609190250550295,0.009474453583890222
4y,0-15cm,-122.27746212121198,113.57281327830357,31.91384587447883,-1.0766437723223266,0.2897112121177351
2y,15-30cm,163.11553030303037,113.57281327830358,31.913845874478657,1.4362198627881588,0.16067063986807187
4y,15-30cm,208.1287868572838,122.41229120235295,34.83795559267885,1.7002278514110785,0.09800054580589806
2y,30-45cm,79.4270833333332,113.57281327830366,31.913845874478714,0.6993494397175994,0.4893999070745636
4y,30-45cm,140.48621530846228,122.41229120235286,34.837955592678995,1.1476479520854033,0.2589341641601244
2y,45-60cm,2.1701388888887427,113.57281327830374,31.913845874478543,0.01910790818900418,0.9848739886028773
4y,45-60cm,128.28082810307504,122.41229120235286,34.83795559267914,1.0479407487849504,0.3018820914703171
