rot_trt,term,contrast,null.value,estimate,std.error,df,statistic,p.value
2y,name,beg - end,0,-558.2780934343446,302.92314002656593,17.05617977528086,-1.8429694522029065,0.08278330005822711
4y,name,beg - end,0,-333.478009259259,317.48958669054707,17.73413521360431,-1.0503588880988894,0.3076566525545241
