rot_trt,depth,mean,se
2y,0-15 cm,505.83965,55.801019
2y,15-30 cm,276.59407,55.801019
2y,30-45 cm,191.28788,55.801019
2y,45-60 cm,99.11616,55.801019
4y,0-15 cm,347.06887,60.612322
4y,15-30 cm,380.83097,60.612322
4y,30-45 cm,233.0774,60.612322
4y,45-60 cm,167.85486,60.612322
