year,block,Simple,Complex
2019,b1,1110,765
2019,b2,1322,1701
2019,b3,860,1605
2019,b4,1290,1652
2020,b1,940,1034
2020,b2,1339,122
2020,b3,735,571
2020,b4,986,793
