year,date,dap,block,plot,rot_trt,harv_crop,roots_kgha
2019,2019-06-06,3,b1,19,2y,C2,542.2979797979798
2019,2019-06-06,3,b1,12,4y,C4,739.8989898989898
2019,2019-06-06,3,b2,27,2y,C2,157.51262626262624
2019,2019-06-06,3,b2,21,4y,C4,1027.7777777777778
2019,2019-06-06,3,b3,35,2y,C2,118.68686868686868
2019,2019-06-06,3,b3,31,4y,C4,248.10606060606062
2019,2019-06-06,3,b4,45,2y,C2,67.8661616161616
2019,2019-06-06,3,b4,43,4y,C4,441.2878787878788
2019,2019-07-10,39,b1,19,2y,C2,441.91919191919186
2019,2019-07-10,39,b1,12,4y,C4,1216.2247474747476
2019,2019-07-10,39,b2,27,2y,C2,1458.3333333333333
2019,2019-07-10,39,b2,21,4y,C4,899.9368686868687
2019,2019-07-10,39,b3,35,2y,C2,864.8989898989901
2019,2019-07-10,39,b3,31,4y,C4,1190.9722222222222
2019,2019-07-10,39,b4,45,2y,C2,1188.1313131313132
2019,2019-07-10,39,b4,43,4y,C4,3923.2954545454545
2019,2019-07-29,56,b1,19,2y,C2,555.5555555555555
2019,2019-07-29,56,b1,12,4y,C4,1358.9015151515152
2019,2019-07-29,56,b2,27,2y,C2,1259.1540404040404
2019,2019-07-29,56,b2,21,4y,C4,1924.5580808080804
2019,2019-07-29,56,b3,35,2y,C2,942.8661616161617
2019,2019-07-29,56,b3,31,4y,C4,1024.3055555555554
2019,2019-07-29,56,b4,45,2y,C2,1078.9141414141413
2019,2019-07-29,56,b4,43,4y,C4,976.9570707070708
2019,2019-08-16,74,b1,19,2y,C2,1083.9646464646464
2019,2019-08-16,74,b1,12,4y,C4,1336.1742424242423
2019,2019-08-16,74,b2,27,2y,C2,850.6944444444446
2019,2019-08-16,74,b2,21,4y,C4,1513.2575757575758
2019,2019-08-16,74,b3,35,2y,C2,1133.8383838383836
2019,2019-08-16,74,b3,31,4y,C4,932.4494949494949
2019,2019-08-16,74,b4,45,2y,C2,899.3055555555554
2019,2019-08-16,74,b4,43,4y,C4,788.1944444444442
2019,2019-09-16,105,b1,19,2y,C2,1109.5328282828282
2019,2019-09-16,105,b1,12,4y,C4,764.5202020202019
2019,2019-09-16,105,b2,27,2y,C2,1322.2853535353534
2019,2019-09-16,105,b2,21,4y,C4,1701.3888888888891
2019,2019-09-16,105,b3,35,2y,C2,860.4797979797979
2019,2019-09-16,105,b3,31,4y,C4,1604.79797979798
2019,2019-09-16,105,b4,45,2y,C2,1290.0883838383836
2019,2019-09-16,105,b4,43,4y,C4,1652.146464646465
2020,2020-04-27,4,b1,13,2y,C2,2753.4722222222226
2020,2020-04-27,4,b1,17,4y,C4,280.9343434343434
2020,2020-04-27,4,b2,24,2y,C2,135.7323232323232
2020,2020-04-27,4,b2,22,4y,C4,482.9545454545455
2020,2020-04-27,4,b3,34,2y,C2,181.50252525252526
2020,2020-04-27,4,b3,39,4y,C4,982.3232323232321
2020,2020-04-27,4,b4,44,2y,C2,159.40656565656568
2020,2020-04-27,4,b4,41,4y,C4,2048.2954545454545
2020,2020-05-22,27,b1,13,2y,C2,220.3282828282828
2020,2020-05-22,27,b1,17,4y,C4,535.9848484848485
2020,2020-05-22,27,b2,24,2y,C2,241.47727272727275
2020,2020-05-22,27,b2,22,4y,C4,210.2272727272727
2020,2020-05-22,27,b3,34,2y,C2,263.57323232323233
2020,2020-05-22,27,b3,39,4y,C4,237.05808080808077
2020,2020-05-22,27,b4,44,2y,C2,288.510101010101
2020,2020-05-22,27,b4,41,4y,C4,138.88888888888889
2020,2020-06-12,50,b1,13,2y,C2,261.67929292929296
2020,2020-06-12,50,b1,17,4y,C4,367.73989898989896
2020,2020-06-12,50,b2,24,2y,C2,403.0934343434343
2020,2020-06-12,50,b2,22,4y,C4,152.14646464646466
2020,2020-06-12,50,b3,34,2y,C2,413.1944444444445
2020,2020-06-12,50,b3,39,4y,C4,879.4191919191918
2020,2020-06-12,50,b4,44,2y,C2,336.80555555555554
2020,2020-06-12,50,b4,41,4y,C4,552.0833333333334
2020,2020-06-30,68,b1,13,2y,C2,417.9292929292929
2020,2020-06-30,68,b1,17,4y,C4,336.80555555555554
2020,2020-06-30,68,b2,24,2y,C2,712.4368686868686
2020,2020-06-30,68,b2,22,4y,C4,431.50252525252523
2020,2020-06-30,68,b3,34,2y,C2,501.26262626262627
2020,2020-06-30,68,b3,39,4y,C4,756.6287878787879
2020,2020-06-30,68,b4,44,2y,C2,565.3409090909091
2020,2020-06-30,68,b4,41,4y,C4,1024.6212121212122
2020,2020-07-28,96,b1,13,2y,C2,649.3055555555555
2020,2020-07-28,96,b1,17,4y,C4,520.2020202020202
2020,2020-07-28,96,b2,24,2y,C2,1046.4015151515152
2020,2020-07-28,96,b2,22,4y,C4,1655.6186868686868
2020,2020-07-28,96,b3,34,2y,C2,1007.5757575757575
2020,2020-07-28,96,b3,39,4y,C4,2458.333333333333
2020,2020-07-28,96,b4,44,2y,C2,789.141414141414
2020,2020-07-28,96,b4,41,4y,C4,1176.7676767676767
2020,2020-08-18,117,b1,13,2y,C2,940.3409090909089
2020,2020-08-18,117,b1,17,4y,C4,1033.7752525252524
2020,2020-08-18,117,b2,24,2y,C2,1338.699494949495
2020,2020-08-18,117,b2,22,4y,C4,486.1111111111111
2020,2020-08-18,117,b3,34,2y,C2,734.8484848484849
2020,2020-08-18,117,b3,39,4y,C4,570.7070707070708
2020,2020-08-18,117,b4,44,2y,C2,986.4267676767677
2020,2020-08-18,117,b4,41,4y,C4,792.9292929292927
