"data conglomerated from ""data_Corn2013_WO"" and ""data_Corn2014_WO""",,,,,,,,
"4 plants per sample, taken from randomly assigned subplots",,,,,,,,
,,,,,,,,
,,,,,,,,
date,plot,system,organ,mass_g,totC_g,totN_g,CN_ratio,N_prct
5/20/2014,13,2,plant,0.21,0.097902,0.0089271,10.96683133,4.251
5/20/2014,24,2,plant,0.24,0.1104,0.0106632,10.35336484,4.443
5/20/2014,34,2,plant,0.2,0.09344,0.008728,10.70577452,4.364
5/20/2014,44,2,plant,0.22,0.10263,0.009856,10.41294643,4.48
5/20/2014,11,3,plant,0.2,,,,
5/20/2014,23,3,plant,0.2,0.09222,0.008472,10.88526912,4.236
5/20/2014,38,3,plant,0.21,0.094269,0.0081984,11.49846311,3.904
5/20/2014,48,3,plant,0.24,0.11304,0.0096672,11.69314796,4.028
5/20/2014,18,4,plant,0.18,0.084888,0.0079776,10.64079422,4.432
5/20/2014,28,4,plant,0.24,0.111408,0.0100728,11.06028115,4.197
5/20/2014,37,4,plant,0.15,0.069345,0.006921,10.01950585,4.614
5/20/2014,46,4,plant,0.17,0.080886,0.0074103,10.91534756,4.359
5/30/2014,13,2,plant,3.09,,,,
5/30/2014,24,2,plant,3.78,1.708182,0.149121,11.45500634,3.945
5/30/2014,34,2,plant,2.47,1.085318,0.093119,11.65517241,3.77
5/30/2014,44,2,plant,4.15,1.86999,0.154297,12.11941904,3.718
5/30/2014,11,3,plant,2.98,1.335934,0.0998598,13.37809609,3.351
5/30/2014,23,3,plant,4.85,2.19608,0.184882,11.87827912,3.812
5/30/2014,38,3,plant,3.61,1.626305,0.1305376,12.4585177,3.616
5/30/2014,48,3,plant,2.58,1.198152,0.0902484,13.2761578,3.498
5/30/2014,18,4,plant,3.49,1.586205,0.1335274,11.87924726,3.826
5/30/2014,28,4,plant,4.54,2.050264,0.182962,11.20595533,4.03
5/30/2014,37,4,plant,3.07,1.408209,0.1207431,11.66285278,3.933
5/30/2014,46,4,plant,4.26,1.940856,0.1650324,11.76045431,3.874
6/18/2014,13,2,plant,39.624176,36.9594,2.664776,13.86960855,3.297990099
6/18/2014,24,2,plant,31.366988,29.22854,2.138448,13.66810883,3.28992
6/18/2014,34,2,plant,32.43192,30.42626,2.00566,15.17019834,2.9495
6/18/2014,44,2,plant,37.145886,34.86897,2.276916,15.31412226,2.907938697
6/18/2014,11,3,plant,32.298703,30.34466,1.954043,15.52916696,2.983271756
6/18/2014,23,3,plant,47.689197,44.52893,3.160267,14.09024301,3.147676295
6/18/2014,38,3,plant,39.941371,37.27204,2.669331,13.96306415,3.216061446
6/18/2014,48,3,plant,31.425416,29.44458,1.980836,14.86472378,3.03343951
6/18/2014,18,4,plant,34.247478,32.03448,2.212998,14.47560278,3.086468619
