rot_trt,estimate,std.error,df,statistic,p.value,respvar
2y,10.241064662647343,0.34554476961385544,7.172465556822678,29.637446615359515,9.112323043240868e-9,corn yields
4y,10.965424219896269,0.3455447696138555,7.172465556822676,31.733729415583614,5.5999583756587485e-9,corn yields
