Index	Year	State	County	Cty.num	Corn.Yld.BuAc	Corn.Mg.ha
129	2008	ILLINOIS	COLES	9	170	10.67
130	2009	ILLINOIS	COLES	9	177	11.109
131	2010	ILLINOIS	COLES	9	167	10.482
132	2011	ILLINOIS	COLES	9	151.7	9.521
133	2012	ILLINOIS	COLES	9	89.3	5.605
134	2013	ILLINOIS	COLES	9	182.2	11.436
135	2014	ILLINOIS	COLES	9	212.6	13.344
136	2000	ILLINOIS	CRAWFORD	10	138	8.662
137	2001	ILLINOIS	CRAWFORD	10	144	9.038
138	2002	ILLINOIS	CRAWFORD	10	101	6.339
139	2003	ILLINOIS	CRAWFORD	10	144	9.038
140	2004	ILLINOIS	CRAWFORD	10	173	10.858
141	2005	ILLINOIS	CRAWFORD	10	133	8.348
142	2006	ILLINOIS	CRAWFORD	10	138	8.662
143	2007	ILLINOIS	CRAWFORD	10	140	8.787
144	2008	ILLINOIS	CRAWFORD	10	164	10.293
145	2009	ILLINOIS	CRAWFORD	10	150	9.415
146	2010	ILLINOIS	CRAWFORD	10	143.2	8.988
147	2011	ILLINOIS	CRAWFORD	10	144.4	9.063
148	2012	ILLINOIS	CRAWFORD	10	34.7	2.178
149	2013	ILLINOIS	CRAWFORD	10	154.1	9.672
150	2014	ILLINOIS	CRAWFORD	10	184.7	11.593
151	2000	ILLINOIS	CUMBERLAND	11	144	9.038
152	2001	ILLINOIS	CUMBERLAND	11	152	9.54
153	2002	ILLINOIS	CUMBERLAND	11	128	8.034
154	2003	ILLINOIS	CUMBERLAND	11	159	9.98
155	2004	ILLINOIS	CUMBERLAND	11	173	10.858
156	2005	ILLINOIS	CUMBERLAND	11	136	8.536
157	2006	ILLINOIS	CUMBERLAND	11	148	9.289
158	2007	ILLINOIS	CUMBERLAND	11	166	10.419
159	2008	ILLINOIS	CUMBERLAND	11	170	10.67
160	2009	ILLINOIS	CUMBERLAND	11	164	10.293
161	2010	ILLINOIS	CUMBERLAND	11	146.7	9.208
162	2011	ILLINOIS	CUMBERLAND	11	146.9	9.22
163	2012	ILLINOIS	CUMBERLAND	11	34.3	2.153
164	2013	ILLINOIS	CUMBERLAND	11	171.6	10.77
165	2014	ILLINOIS	CUMBERLAND	11	196.1	12.308
166	2000	ILLINOIS	DE.KALB	12	157	9.854
167	2001	ILLINOIS	DE.KALB	12	144	9.038
168	2002	ILLINOIS	DE.KALB	12	143	8.975
169	2003	ILLINOIS	DE.KALB	12	170	10.67
170	2004	ILLINOIS	DE.KALB	12	180	11.298
171	2005	ILLINOIS	DE.KALB	12	146	9.164
172	2006	ILLINOIS	DE.KALB	12	181	11.36
173	2007	ILLINOIS	DE.KALB	12	197	12.365
174	2008	ILLINOIS	DE.KALB	12	189	11.863
175	2009	ILLINOIS	DE.KALB	12	161	10.105
176	2010	ILLINOIS	DE.KALB	12	180.4	11.323
177	2011	ILLINOIS	DE.KALB	12	183.8	11.536
178	2012	ILLINOIS	DE.KALB	12	159.3	9.998
179	2013	ILLINOIS	DE.KALB	12	193.8	12.164
180	2014	ILLINOIS	DE.KALB	12	194.1	12.183
181	2000	ILLINOIS	DOUGLAS	13	144	9.038
182	2001	ILLINOIS	DOUGLAS	13	170	10.67
183	2002	ILLINOIS	DOUGLAS	13	134	8.411
184	2003	ILLINOIS	DOUGLAS	13	177	11.109
185	2004	ILLINOIS	DOUGLAS	13	182	11.423
186	2005	ILLINOIS	DOUGLAS	13	153	9.603
187	2006	ILLINOIS	DOUGLAS	13	168	10.545
188	2007	ILLINOIS	DOUGLAS	13	184	11.549
189	2008	ILLINOIS	DOUGLAS	13	166	10.419
190	2009	ILLINOIS	DOUGLAS	13	179	11.235
191	2010	ILLINOIS	DOUGLAS	13	172.8	10.846
192	2011	ILLINOIS	DOUGLAS	13	153.6	9.641
193	2012	ILLINOIS	DOUGLAS	13	99.4	6.239
194	2013	ILLINOIS	DOUGLAS	13	187.1	11.743
195	2014	ILLINOIS	DOUGLAS	13	224	14.059
196	2000	ILLINOIS	EDGAR	14	145	9.101
197	2001	ILLINOIS	EDGAR	14	159	9.98
198	2002	ILLINOIS	EDGAR	14	138	8.662
199	2003	ILLINOIS	EDGAR	14	168	10.545
200	2004	ILLINOIS	EDGAR	14	188	11.8
201	2005	ILLINOIS	EDGAR	14	160	10.042
202	2006	ILLINOIS	EDGAR	14	167	10.482
203	2007	ILLINOIS	EDGAR	14	181	11.36
204	2008	ILLINOIS	EDGAR	14	168	10.545
205	2009	ILLINOIS	EDGAR	14	168	10.545
206	2010	ILLINOIS	EDGAR	14	163.3	10.25
207	2011	ILLINOIS	EDGAR	14	154.5	9.697
208	2012	ILLINOIS	EDGAR	14	96.7	6.069
209	2013	ILLINOIS	EDGAR	14	186.4	11.699
210	2014	ILLINOIS	EDGAR	14	201.5	12.647
211	2000	ILLINOIS	EDWARDS	15	132	8.285
212	2001	ILLINOIS	EDWARDS	15	131	8.222
213	2002	ILLINOIS	EDWARDS	15	83	5.209
214	2003	ILLINOIS	EDWARDS	15	100	6.277
215	2004	ILLINOIS	EDWARDS	15	166	10.419
216	2005	ILLINOIS	EDWARDS	15	114	7.155
217	2006	ILLINOIS	EDWARDS	15	123	7.72
218	2007	ILLINOIS	EDWARDS	15	113	7.092
219	2008	ILLINOIS	EDWARDS	15	153	9.603
220	2009	ILLINOIS	EDWARDS	15	159	9.98
221	2010	ILLINOIS	EDWARDS	15	146.5	9.195
222	2011	ILLINOIS	EDWARDS	15	138	8.662
223	2012	ILLINOIS	EDWARDS	15	40	2.511
224	2013	ILLINOIS	EDWARDS	15	154.2	9.678
225	2000	ILLINOIS	EFFINGHAM	16	136	8.536
226	2001	ILLINOIS	EFFINGHAM	16	141	8.85
227	2002	ILLINOIS	EFFINGHAM	16	100	6.277
228	2003	ILLINOIS	EFFINGHAM	16	151	9.478
229	2004	ILLINOIS	EFFINGHAM	16	171	10.733
230	2005	ILLINOIS	EFFINGHAM	16	119	7.469
231	2006	ILLINOIS	EFFINGHAM	16	145	9.101
232	2007	ILLINOIS	EFFINGHAM	16	153	9.603
233	2008	ILLINOIS	EFFINGHAM	16	171	10.733
234	2009	ILLINOIS	EFFINGHAM	16	164	10.293
235	2010	ILLINOIS	EFFINGHAM	16	157.9	9.911
236	2011	ILLINOIS	EFFINGHAM	16	153.7	9.647
237	2012	ILLINOIS	EFFINGHAM	16	42.9	2.693
238	2013	ILLINOIS	EFFINGHAM	16	172.4	10.821
239	2014	ILLINOIS	EFFINGHAM	16	196.4	12.327
240	2000	ILLINOIS	FAYETTE	17	137	8.599
241	2001	ILLINOIS	FAYETTE	17	139	8.724
242	2002	ILLINOIS	FAYETTE	17	85	5.335
243	2003	ILLINOIS	FAYETTE	17	136	8.536
244	2004	ILLINOIS	FAYETTE	17	171	10.733
245	2005	ILLINOIS	FAYETTE	17	117	7.344
246	2006	ILLINOIS	FAYETTE	17	121	7.595
247	2007	ILLINOIS	FAYETTE	17	133	8.348
248	2008	ILLINOIS	FAYETTE	17	160	10.042
249	2009	ILLINOIS	FAYETTE	17	152	9.54
250	2010	ILLINOIS	FAYETTE	17	159.3	9.998
251	2011	ILLINOIS	FAYETTE	17	137.9	8.655
252	2012	ILLINOIS	FAYETTE	17	29.3	1.839
253	2013	ILLINOIS	FAYETTE	17	161.8	10.155
254	2014	ILLINOIS	FAYETTE	17	180.3	11.317
255	2000	ILLINOIS	FORD	18	136	8.536
256	2001	ILLINOIS	FORD	18	146	9.164
257	2002	ILLINOIS	FORD	18	149	9.352
258	2003	ILLINOIS	FORD	18	170	10.67
259	2004	ILLINOIS	FORD	18	178	11.172
260	2005	ILLINOIS	FORD	18	158	9.917
261	2006	ILLINOIS	FORD	18	168	10.545
262	2007	ILLINOIS	FORD	18	187	11.737
263	2008	ILLINOIS	FORD	18	175	10.984
264	2009	ILLINOIS	FORD	18	182	11.423
265	2010	ILLINOIS	FORD	18	143.9	9.032
266	2011	ILLINOIS	FORD	18	137.3	8.618
267	2012	ILLINOIS	FORD	18	63.9	4.011
268	2013	ILLINOIS	FORD	18	164	10.293
269	2014	ILLINOIS	FORD	18	201.1	12.622
270	2000	ILLINOIS	FRANKLIN	19	123	7.72
271	2001	ILLINOIS	FRANKLIN	19	134	8.411
272	2002	ILLINOIS	FRANKLIN	19	49	3.075
273	2003	ILLINOIS	FRANKLIN	19	76	4.77
274	2004	ILLINOIS	FRANKLIN	19	138	8.662
275	2005	ILLINOIS	FRANKLIN	19	117	7.344
276	2006	ILLINOIS	FRANKLIN	19	130	8.159
277	2007	ILLINOIS	FRANKLIN	19	113	7.092
278	2008	ILLINOIS	FRANKLIN	19	142	8.913
279	2009	ILLINOIS	FRANKLIN	19	149	9.352
280	2010	ILLINOIS	FRANKLIN	19	111.4	6.992
281	2011	ILLINOIS	FRANKLIN	19	116.3	7.3
282	2012	ILLINOIS	FRANKLIN	19	30.1	1.889
283	2013	ILLINOIS	FRANKLIN	19	164.3	10.312
284	2014	ILLINOIS	FRANKLIN	19	160.3	10.061
285	2000	ILLINOIS	FULTON	20	149	9.352
286	2001	ILLINOIS	FULTON	20	154	9.666
287	2002	ILLINOIS	FULTON	20	156	9.791
288	2003	ILLINOIS	FULTON	20	166	10.419
289	2004	ILLINOIS	FULTON	20	186	11.674
290	2005	ILLINOIS	FULTON	20	130	8.159
291	2006	ILLINOIS	FULTON	20	160	10.042
292	2007	ILLINOIS	FULTON	20	186	11.674
293	2008	ILLINOIS	FULTON	20	193	12.114
294	2009	ILLINOIS	FULTON	20	175	10.984
295	2010	ILLINOIS	FULTON	20	136.8	8.586
296	2011	ILLINOIS	FULTON	20	151.2	9.49
297	2012	ILLINOIS	FULTON	20	114.5	7.187
298	2013	ILLINOIS	FULTON	20	171.4	10.758
299	2014	ILLINOIS	FULTON	20	198.2	12.44
300	2000	ILLINOIS	GALLATIN	21	155	9.729
301	2001	ILLINOIS	GALLATIN	21	153	9.603
302	2002	ILLINOIS	GALLATIN	21	88	5.523
303	2003	ILLINOIS	GALLATIN	21	133	8.348
304	2004	ILLINOIS	GALLATIN	21	164	10.293
305	2005	ILLINOIS	GALLATIN	21	145	9.101
306	2006	ILLINOIS	GALLATIN	21	153	9.603
307	2007	ILLINOIS	GALLATIN	21	148	9.289
308	2008	ILLINOIS	GALLATIN	21	158	9.917
309	2009	ILLINOIS	GALLATIN	21	160	10.042
310	2010	ILLINOIS	GALLATIN	21	141.5	8.881
311	2011	ILLINOIS	GALLATIN	21	144.5	9.07
312	2012	ILLINOIS	GALLATIN	21	76.7	4.814
313	2013	ILLINOIS	GALLATIN	21	188.7	11.844
314	2014	ILLINOIS	GALLATIN	21	187.6	11.775
315	2000	ILLINOIS	GREENE	22	164	10.293
316	2001	ILLINOIS	GREENE	22	151	9.478
317	2002	ILLINOIS	GREENE	22	123	7.72
318	2003	ILLINOIS	GREENE	22	164	10.293
319	2004	ILLINOIS	GREENE	22	179	11.235
320	2005	ILLINOIS	GREENE	22	136	8.536
321	2006	ILLINOIS	GREENE	22	137	8.599
322	2007	ILLINOIS	GREENE	22	160	10.042
323	2008	ILLINOIS	GREENE	22	158	9.917
324	2009	ILLINOIS	GREENE	22	171	10.733
325	2010	ILLINOIS	GREENE	22	161.6	10.143
326	2011	ILLINOIS	GREENE	22	158.7	9.961
327	2012	ILLINOIS	GREENE	22	103.4	6.49
328	2013	ILLINOIS	GREENE	22	167.4	10.507
329	2014	ILLINOIS	GREENE	22	198.8	12.478
330	2000	ILLINOIS	GRUNDY	23	151	9.478
331	2001	ILLINOIS	GRUNDY	23	144	9.038
332	2002	ILLINOIS	GRUNDY	23	130	8.159
333	2003	ILLINOIS	GRUNDY	23	174	10.921
334	2004	ILLINOIS	GRUNDY	23	173	10.858
335	2005	ILLINOIS	GRUNDY	23	122	7.657
336	2006	ILLINOIS	GRUNDY	23	170	10.67
337	2007	ILLINOIS	GRUNDY	23	185	11.612
338	2008	ILLINOIS	GRUNDY	23	188	11.8
339	2009	ILLINOIS	GRUNDY	23	169	10.607
340	2010	ILLINOIS	GRUNDY	23	159.2	9.992
341	2011	ILLINOIS	GRUNDY	23	155.6	9.766
342	2012	ILLINOIS	GRUNDY	23	101.1	6.346
343	2013	ILLINOIS	GRUNDY	23	192.2	12.063
344	2014	ILLINOIS	GRUNDY	23	205.1	12.873
345	2000	ILLINOIS	HAMILTON	24	132	8.285
346	2001	ILLINOIS	HAMILTON	24	134	8.411
347	2002	ILLINOIS	HAMILTON	24	67	4.205
348	2003	ILLINOIS	HAMILTON	24	85	5.335
349	2004	ILLINOIS	HAMILTON	24	162	10.168
350	2005	ILLINOIS	HAMILTON	24	134	8.411
351	2006	ILLINOIS	HAMILTON	24	140	8.787
352	2007	ILLINOIS	HAMILTON	24	110	6.904
353	2008	ILLINOIS	HAMILTON	24	160	10.042
354	2009	ILLINOIS	HAMILTON	24	160	10.042
355	2010	ILLINOIS	HAMILTON	24	140.4	8.812
356	2011	ILLINOIS	HAMILTON	24	122.8	7.708
357	2012	ILLINOIS	HAMILTON	24	31.5	1.977
358	2013	ILLINOIS	HAMILTON	24	175.1	10.99
359	2000	ILLINOIS	HANCOCK	25	158	9.917
360	2001	ILLINOIS	HANCOCK	25	155	9.729
361	2002	ILLINOIS	HANCOCK	25	155	9.729
362	2003	ILLINOIS	HANCOCK	25	171	10.733
363	2004	ILLINOIS	HANCOCK	25	193	12.114
364	2005	ILLINOIS	HANCOCK	25	142	8.913
365	2006	ILLINOIS	HANCOCK	25	152	9.54
366	2007	ILLINOIS	HANCOCK	25	183	11.486
367	2008	ILLINOIS	HANCOCK	25	190	11.925
368	2009	ILLINOIS	HANCOCK	25	179	11.235
369	2010	ILLINOIS	HANCOCK	25	116.9	7.337
370	2011	ILLINOIS	HANCOCK	25	134.9	8.467
371	2012	ILLINOIS	HANCOCK	25	134.3	8.429
372	2013	ILLINOIS	HANCOCK	25	178.5	11.204
373	2014	ILLINOIS	HANCOCK	25	218.5	13.714
374	2000	ILLINOIS	HENDERSON	26	146	9.164
375	2001	ILLINOIS	HENDERSON	26	162	10.168
376	2002	ILLINOIS	HENDERSON	26	166	10.419
377	2003	ILLINOIS	HENDERSON	26	168	10.545
378	2004	ILLINOIS	HENDERSON	26	185	11.612
379	2005	ILLINOIS	HENDERSON	26	155	9.729
380	2006	ILLINOIS	HENDERSON	26	161	10.105
381	2007	ILLINOIS	HENDERSON	26	185	11.612
382	2008	ILLINOIS	HENDERSON	26	199	12.49
383	2009	ILLINOIS	HENDERSON	26	174	10.921
384	2010	ILLINOIS	HENDERSON	26	143.8	9.026
385	2011	ILLINOIS	HENDERSON	26	159.5	10.011
386	2012	ILLINOIS	HENDERSON	26	162.6	10.206
387	2013	ILLINOIS	HENDERSON	26	176	11.047
388	2014	ILLINOIS	HENDERSON	26	207.9	13.049
389	2000	ILLINOIS	HENRY	27	147	9.226
390	2001	ILLINOIS	HENRY	27	157	9.854
391	2002	ILLINOIS	HENRY	27	168	10.545
392	2003	ILLINOIS	HENRY	27	170	10.67
393	2004	ILLINOIS	HENRY	27	186	11.674
394	2005	ILLINOIS	HENRY	27	127	7.971
395	2006	ILLINOIS	HENRY	27	171	10.733
396	2007	ILLINOIS	HENRY	27	189	11.863
397	2008	ILLINOIS	HENRY	27	184	11.549
398	2009	ILLINOIS	HENRY	27	182	11.423
399	2010	ILLINOIS	HENRY	27	158.8	9.967
400	2011	ILLINOIS	HENRY	27	174.4	10.946
401	2012	ILLINOIS	HENRY	27	140	8.787
402	2013	ILLINOIS	HENRY	27	184.5	11.58
403	2014	ILLINOIS	HENRY	27	194.2	12.189
404	2000	ILLINOIS	IROQUOIS	28	145	9.101
405	2001	ILLINOIS	IROQUOIS	28	158	9.917
406	2002	ILLINOIS	IROQUOIS	28	157	9.854
407	2003	ILLINOIS	IROQUOIS	28	158	9.917
408	2004	ILLINOIS	IROQUOIS	28	184	11.549
409	2005	ILLINOIS	IROQUOIS	28	167	10.482
410	2006	ILLINOIS	IROQUOIS	28	170	10.67
411	2007	ILLINOIS	IROQUOIS	28	178	11.172
412	2008	ILLINOIS	IROQUOIS	28	175	10.984
413	2009	ILLINOIS	IROQUOIS	28	178	11.172
414	2010	ILLINOIS	IROQUOIS	28	144.7	9.082
415	2011	ILLINOIS	IROQUOIS	28	155.1	9.735
416	2012	ILLINOIS	IROQUOIS	28	105.7	6.634
417	2013	ILLINOIS	IROQUOIS	28	174.4	10.946
418	2014	ILLINOIS	IROQUOIS	28	186.2	11.687
419	2000	ILLINOIS	JACKSON	29	141	8.85
420	2001	ILLINOIS	JACKSON	29	145	9.101
421	2002	ILLINOIS	JACKSON	29	70	4.394
422	2003	ILLINOIS	JACKSON	29	126	7.908
423	2004	ILLINOIS	JACKSON	29	143	8.975
424	2005	ILLINOIS	JACKSON	29	141	8.85
425	2006	ILLINOIS	JACKSON	29	142	8.913
426	2007	ILLINOIS	JACKSON	29	140	8.787
427	2008	ILLINOIS	JACKSON	29	148	9.289
428	2009	ILLINOIS	JACKSON	29	152	9.54
429	2010	ILLINOIS	JACKSON	29	114.9	7.212
430	2011	ILLINOIS	JACKSON	29	118.4	7.431
431	2012	ILLINOIS	JACKSON	29	37.7	2.366
432	2013	ILLINOIS	JACKSON	29	172.7	10.84
433	2014	ILLINOIS	JACKSON	29	169.2	10.62
434	2000	ILLINOIS	JASPER	30	138	8.662
435	2001	ILLINOIS	JASPER	30	147	9.226
436	2002	ILLINOIS	JASPER	30	100	6.277
437	2003	ILLINOIS	JASPER	30	147	9.226
438	2004	ILLINOIS	JASPER	30	176	11.047
439	2005	ILLINOIS	JASPER	30	120	7.532
440	2006	ILLINOIS	JASPER	30	145	9.101
441	2007	ILLINOIS	JASPER	30	150	9.415
442	2008	ILLINOIS	JASPER	30	160	10.042
443	2009	ILLINOIS	JASPER	30	149	9.352
444	2010	ILLINOIS	JASPER	30	142.8	8.963
445	2011	ILLINOIS	JASPER	30	146	9.164
446	2012	ILLINOIS	JASPER	30	28.9	1.814
447	2013	ILLINOIS	JASPER	30	151	9.478
448	2014	ILLINOIS	JASPER	30	185.4	11.637
449	2000	ILLINOIS	JERSEY	31	162	10.168
450	2001	ILLINOIS	JERSEY	31	148	9.289
451	2002	ILLINOIS	JERSEY	31	113	7.092
452	2003	ILLINOIS	JERSEY	31	152	9.54
453	2004	ILLINOIS	JERSEY	31	183	11.486
454	2005	ILLINOIS	JERSEY	31	136	8.536
455	2006	ILLINOIS	JERSEY	31	132	8.285
456	2007	ILLINOIS	JERSEY	31	167	10.482
457	2008	ILLINOIS	JERSEY	31	163	10.231
458	2009	ILLINOIS	JERSEY	31	167	10.482
459	2010	ILLINOIS	JERSEY	31	169.9	10.664
460	2011	ILLINOIS	JERSEY	31	149.1	9.358
461	2012	ILLINOIS	JERSEY	31	81.6	5.122
462	2013	ILLINOIS	JERSEY	31	182.9	11.48
463	2014	ILLINOIS	JERSEY	31	199.9	12.547
464	2000	ILLINOIS	JO.DAVIESS	32	137	8.599
465	2001	ILLINOIS	JO.DAVIESS	32	148	9.289
466	2002	ILLINOIS	JO.DAVIESS	32	156	9.791
467	2003	ILLINOIS	JO.DAVIESS	32	155	9.729
468	2004	ILLINOIS	JO.DAVIESS	32	177	11.109
469	2005	ILLINOIS	JO.DAVIESS	32	165	10.356
470	2006	ILLINOIS	JO.DAVIESS	32	166	10.419
471	2007	ILLINOIS	JO.DAVIESS	32	186	11.674
472	2008	ILLINOIS	JO.DAVIESS	32	163	10.231
473	2009	ILLINOIS	JO.DAVIESS	32	166	10.419
474	2010	ILLINOIS	JO.DAVIESS	32	176.9	11.103
475	2011	ILLINOIS	JO.DAVIESS	32	171.9	10.789
476	2012	ILLINOIS	JO.DAVIESS	32	97.4	6.113
477	2013	ILLINOIS	JO.DAVIESS	32	175.5	11.015
478	2014	ILLINOIS	JO.DAVIESS	32	183.2	11.499
479	2000	ILLINOIS	KANE	33	150	9.415
480	2001	ILLINOIS	KANE	33	133	8.348
481	2002	ILLINOIS	KANE	33	127	7.971
482	2003	ILLINOIS	KANE	33	167	10.482
483	2004	ILLINOIS	KANE	33	174	10.921
484	2005	ILLINOIS	KANE	33	121	7.595
485	2006	ILLINOIS	KANE	33	178	11.172
486	2007	ILLINOIS	KANE	33	186	11.674
487	2008	ILLINOIS	KANE	33	188	11.8
488	2009	ILLINOIS	KANE	33	160	10.042
489	2010	ILLINOIS	KANE	33	178.2	11.185
490	2011	ILLINOIS	KANE	33	175.2	10.996
491	2012	ILLINOIS	KANE	33	140.7	8.831
492	2013	ILLINOIS	KANE	33	191.7	12.032
493	2014	ILLINOIS	KANE	33	185.6	11.649
