Index	Year	State	County	Cty.num	Corn.Yld.BuAc	Corn.Mg.ha
1	2000	ILLINOIS	ADAMS	1	172	10.796
2	2001	ILLINOIS	ADAMS	1	152	9.54
3	2002	ILLINOIS	ADAMS	1	146	9.164
4	2003	ILLINOIS	ADAMS	1	171	10.733
5	2004	ILLINOIS	ADAMS	1	195	12.239
6	2005	ILLINOIS	ADAMS	1	129	8.097
7	2006	ILLINOIS	ADAMS	1	129	8.097
8	2007	ILLINOIS	ADAMS	1	162	10.168
9	2008	ILLINOIS	ADAMS	1	171	10.733
10	2009	ILLINOIS	ADAMS	1	172	10.796
11	2010	ILLINOIS	ADAMS	1	121.9	7.651
12	2011	ILLINOIS	ADAMS	1	135.8	8.523
13	2012	ILLINOIS	ADAMS	1	76	4.77
14	2013	ILLINOIS	ADAMS	1	153.3	9.622
15	2014	ILLINOIS	ADAMS	1	202.4	12.704
16	2000	ILLINOIS	BROWN	2	157	9.854
17	2001	ILLINOIS	BROWN	2	148	9.289
18	2002	ILLINOIS	BROWN	2	132	8.285
19	2003	ILLINOIS	BROWN	2	168	10.545
20	2004	ILLINOIS	BROWN	2	185	11.612
21	2005	ILLINOIS	BROWN	2	135	8.473
22	2006	ILLINOIS	BROWN	2	138	8.662
23	2007	ILLINOIS	BROWN	2	152	9.54
24	2008	ILLINOIS	BROWN	2	152	9.54
25	2009	ILLINOIS	BROWN	2	157	9.854
26	2010	ILLINOIS	BROWN	2	119.5	7.5
27	2011	ILLINOIS	BROWN	2	127	7.971
28	2012	ILLINOIS	BROWN	2	87	5.461
29	2013	ILLINOIS	BROWN	2	176.2	11.059
30	2014	ILLINOIS	BROWN	2	196.6	12.34
31	2000	ILLINOIS	BUREAU	3	151	9.478
32	2001	ILLINOIS	BUREAU	3	169	10.607
33	2002	ILLINOIS	BUREAU	3	163	10.231
34	2003	ILLINOIS	BUREAU	3	175	10.984
35	2004	ILLINOIS	BUREAU	3	186	11.674
36	2005	ILLINOIS	BUREAU	3	136	8.536
37	2006	ILLINOIS	BUREAU	3	178	11.172
38	2007	ILLINOIS	BUREAU	3	195	12.239
39	2008	ILLINOIS	BUREAU	3	199	12.49
40	2009	ILLINOIS	BUREAU	3	176	11.047
41	2010	ILLINOIS	BUREAU	3	166.7	10.463
42	2011	ILLINOIS	BUREAU	3	177.3	11.128
43	2012	ILLINOIS	BUREAU	3	145.7	9.145
44	2013	ILLINOIS	BUREAU	3	185.9	11.668
45	2014	ILLINOIS	BUREAU	3	196	12.302
46	2000	ILLINOIS	CARROLL	4	150	9.415
47	2001	ILLINOIS	CARROLL	4	165	10.356
48	2002	ILLINOIS	CARROLL	4	178	11.172
49	2003	ILLINOIS	CARROLL	4	173	10.858
50	2004	ILLINOIS	CARROLL	4	189	11.863
51	2005	ILLINOIS	CARROLL	4	163	10.231
52	2006	ILLINOIS	CARROLL	4	185	11.612
53	2007	ILLINOIS	CARROLL	4	187	11.737
54	2008	ILLINOIS	CARROLL	4	185	11.612
55	2009	ILLINOIS	CARROLL	4	189	11.863
56	2010	ILLINOIS	CARROLL	4	189.8	11.913
57	2011	ILLINOIS	CARROLL	4	183.3	11.505
58	2012	ILLINOIS	CARROLL	4	157.9	9.911
59	2013	ILLINOIS	CARROLL	4	199.6	12.528
60	2014	ILLINOIS	CARROLL	4	196.1	12.308
61	2000	ILLINOIS	CASS	5	164	10.293
62	2001	ILLINOIS	CASS	5	161	10.105
63	2002	ILLINOIS	CASS	5	150	9.415
64	2003	ILLINOIS	CASS	5	183	11.486
65	2004	ILLINOIS	CASS	5	194	12.176
66	2005	ILLINOIS	CASS	5	139	8.724
67	2006	ILLINOIS	CASS	5	155	9.729
68	2007	ILLINOIS	CASS	5	194	12.176
69	2008	ILLINOIS	CASS	5	195	12.239
70	2009	ILLINOIS	CASS	5	182	11.423
71	2010	ILLINOIS	CASS	5	148.6	9.327
72	2011	ILLINOIS	CASS	5	164.3	10.312
73	2012	ILLINOIS	CASS	5	113.2	7.105
74	2013	ILLINOIS	CASS	5	184.1	11.555
75	2014	ILLINOIS	CASS	5	208.3	13.074
76	2000	ILLINOIS	CHAMPAIGN	6	145	9.101
77	2001	ILLINOIS	CHAMPAIGN	6	153	9.603
78	2002	ILLINOIS	CHAMPAIGN	6	142	8.913
79	2003	ILLINOIS	CHAMPAIGN	6	185	11.612
80	2004	ILLINOIS	CHAMPAIGN	6	181	11.36
81	2005	ILLINOIS	CHAMPAIGN	6	164	10.293
82	2006	ILLINOIS	CHAMPAIGN	6	180	11.298
83	2007	ILLINOIS	CHAMPAIGN	6	188	11.8
84	2008	ILLINOIS	CHAMPAIGN	6	176	11.047
85	2009	ILLINOIS	CHAMPAIGN	6	190	11.925
86	2010	ILLINOIS	CHAMPAIGN	6	169.5	10.639
87	2011	ILLINOIS	CHAMPAIGN	6	164.1	10.3
88	2012	ILLINOIS	CHAMPAIGN	6	108.9	6.835
89	2013	ILLINOIS	CHAMPAIGN	6	168.1	10.551
90	2014	ILLINOIS	CHAMPAIGN	6	216.5	13.589
91	2000	ILLINOIS	CHRISTIAN	7	177	11.109
92	2001	ILLINOIS	CHRISTIAN	7	166	10.419
93	2002	ILLINOIS	CHRISTIAN	7	139	8.724
94	2003	ILLINOIS	CHRISTIAN	7	192	12.051
95	2004	ILLINOIS	CHRISTIAN	7	188	11.8
96	2005	ILLINOIS	CHRISTIAN	7	181	11.36
97	2006	ILLINOIS	CHRISTIAN	7	172	10.796
98	2007	ILLINOIS	CHRISTIAN	7	193	12.114
99	2008	ILLINOIS	CHRISTIAN	7	193	12.114
100	2009	ILLINOIS	CHRISTIAN	7	183	11.486
101	2010	ILLINOIS	CHRISTIAN	7	157	9.854
102	2011	ILLINOIS	CHRISTIAN	7	154.8	9.716
103	2012	ILLINOIS	CHRISTIAN	7	129.2	8.109
104	2013	ILLINOIS	CHRISTIAN	7	199.8	12.54
105	2014	ILLINOIS	CHRISTIAN	7	217.8	13.67
106	2000	ILLINOIS	CLINTON	8	141	8.85
107	2001	ILLINOIS	CLINTON	8	137	8.599
108	2002	ILLINOIS	CLINTON	8	105	6.59
109	2003	ILLINOIS	CLINTON	8	127	7.971
110	2004	ILLINOIS	CLINTON	8	169	10.607
111	2005	ILLINOIS	CLINTON	8	135	8.473
112	2006	ILLINOIS	CLINTON	8	126	7.908
113	2007	ILLINOIS	CLINTON	8	132	8.285
114	2008	ILLINOIS	CLINTON	8	163	10.231
115	2009	ILLINOIS	CLINTON	8	163	10.231
116	2010	ILLINOIS	CLINTON	8	162.7	10.212
117	2011	ILLINOIS	CLINTON	8	123.8	7.77
118	2012	ILLINOIS	CLINTON	8	30.2	1.896
119	2013	ILLINOIS	CLINTON	8	162.2	10.18
120	2014	ILLINOIS	CLINTON	8	192.7	12.095
121	2000	ILLINOIS	COLES	9	166	10.419
122	2001	ILLINOIS	COLES	9	174	10.921
123	2002	ILLINOIS	COLES	9	131	8.222
124	2003	ILLINOIS	COLES	9	170	10.67
125	2004	ILLINOIS	COLES	9	183	11.486
126	2005	ILLINOIS	COLES	9	149	9.352
127	2006	ILLINOIS	COLES	9	168	10.545
128	2007	ILLINOIS	COLES	9	181	11.36
