year,date,doy,plot_id,block,plot,rot_trt,harv_crop,mass_gpl
2013,2013-06-02,153,2013_14,b1,14,4y,C4,0.1175
2013,2013-06-02,153,2013_19,b1,19,2y,C2,0.0925
2013,2013-06-02,153,2013_27,b2,27,2y,C2,0.095
2013,2013-06-02,153,2013_29,b2,29,4y,C4,0.0975
2013,2013-06-02,153,2013_32,b3,32,4y,C4,0.105
2013,2013-06-02,153,2013_35,b3,35,2y,C2,0.0925
2013,2013-06-02,153,2013_45,b4,45,2y,C2,0.105
2013,2013-06-02,153,2013_49,b4,49,4y,C4,0.1325
2013,2013-06-17,168,2013_14,b1,14,4y,C4,2.5725
2013,2013-06-17,168,2013_19,b1,19,2y,C2,1.535
2013,2013-06-17,168,2013_27,b2,27,2y,C2,1.3175
2013,2013-06-17,168,2013_29,b2,29,4y,C4,2.925
2013,2013-06-17,168,2013_32,b3,32,4y,C4,2.64
2013,2013-06-17,168,2013_35,b3,35,2y,C2,1.505
2013,2013-06-17,168,2013_45,b4,45,2y,C2,1.4675
2013,2013-06-17,168,2013_49,b4,49,4y,C4,3.5275
2013,2013-07-04,185,2013_14,b1,14,4y,C4,32.8725
2013,2013-07-04,185,2013_19,b1,19,2y,C2,25.065
2013,2013-07-04,185,2013_27,b2,27,2y,C2,23.155
2013,2013-07-04,185,2013_29,b2,29,4y,C4,45.1725
2013,2013-07-04,185,2013_32,b3,32,4y,C4,35.4575
2013,2013-07-04,185,2013_35,b3,35,2y,C2,20.5
2013,2013-07-04,185,2013_45,b4,45,2y,C2,20.805
2013,2013-07-04,185,2013_49,b4,49,4y,C4,42.435
2013,2013-07-24,205,2013_14,b1,14,4y,C4,122.0775
2013,2013-07-24,205,2013_19,b1,19,2y,C2,77.0775
2013,2013-07-24,205,2013_27,b2,27,2y,C2,80.21
2013,2013-07-24,205,2013_29,b2,29,4y,C4,130.455
2013,2013-07-24,205,2013_32,b3,32,4y,C4,112.5975
2013,2013-07-24,205,2013_35,b3,35,2y,C2,72.315
2013,2013-07-24,205,2013_45,b4,45,2y,C2,79.7575
2013,2013-07-24,205,2013_49,b4,49,4y,C4,111.63
2013,2013-08-04,216,2013_14,b1,14,4y,C4,170.875
2013,2013-08-04,216,2013_19,b1,19,2y,C2,118.125
2013,2013-08-04,216,2013_27,b2,27,2y,C2,131.875
2013,2013-08-04,216,2013_29,b2,29,4y,C4,178
2013,2013-08-04,216,2013_32,b3,32,4y,C4,172
2013,2013-08-04,216,2013_35,b3,35,2y,C2,140.125
2013,2013-08-04,216,2013_45,b4,45,2y,C2,130.625
2013,2013-08-04,216,2013_49,b4,49,4y,C4,158.5
2013,2013-08-31,243,2013_14,b1,14,4y,C4,211.625
2013,2013-08-31,243,2013_19,b1,19,2y,C2,207.625
2013,2013-08-31,243,2013_27,b2,27,2y,C2,186.875
2013,2013-08-31,243,2013_29,b2,29,4y,C4,208.125
2013,2013-08-31,243,2013_32,b3,32,4y,C4,209.625
2013,2013-08-31,243,2013_35,b3,35,2y,C2,166.625
2013,2013-08-31,243,2013_45,b4,45,2y,C2,208
2013,2013-08-31,243,2013_49,b4,49,4y,C4,261.25
2013,2013-10-08,281,2013_14,b1,14,4y,C4,212.375
2013,2013-10-08,281,2013_19,b1,19,2y,C2,190.375
2013,2013-10-08,281,2013_27,b2,27,2y,C2,203
2013,2013-10-08,281,2013_29,b2,29,4y,C4,287.125
2013,2013-10-08,281,2013_32,b3,32,4y,C4,253.75
2013,2013-10-08,281,2013_35,b3,35,2y,C2,218.75
2013,2013-10-08,281,2013_45,b4,45,2y,C2,188.875
2013,2013-10-08,281,2013_49,b4,49,4y,C4,300.5
2014,2014-05-20,140,2014_13,b1,13,2y,C2,0.0525
2014,2014-05-20,140,2014_24,b2,24,2y,C2,0.06
2014,2014-05-20,140,2014_34,b3,34,2y,C2,0.05
2014,2014-05-20,140,2014_44,b4,44,2y,C2,0.055
2014,2014-05-20,140,2014_18,b1,18,4y,C4,0.045
2014,2014-05-20,140,2014_28,b2,28,4y,C4,0.06
2014,2014-05-20,140,2014_37,b3,37,4y,C4,0.0375
2014,2014-05-20,140,2014_46,b4,46,4y,C4,0.0425
2014,2014-05-30,150,2014_13,b1,13,2y,C2,0.7725
2014,2014-05-30,150,2014_24,b2,24,2y,C2,0.945
