rotation,estimate,std.error,df,statistic,p.value,param
2y,73.9515667039731,11.956405950486433,130,6.185100021713838,7.473855601234363e-9,Asym
4y,82.41448250856645,11.982505848372647,130,6.877900461843649,2.3003332470624157e-10,Asym
2y,455.1480696939239,49.671644643544454,130,9.163136694187898,9.475398683363283e-16,xmid
4y,436.02886743049714,49.44312650117416,130,8.818796429067698,6.538116243258922e-15,xmid
