year,rot_trt,value,param
2018,2y,47.08994154235414,Asym
2018,2y,355.25648535592285,xmid
2018,2y,89.12958678751825,scal
2018,4y,55.07456530258422,Asym
2018,4y,332.9805610800527,xmid
2018,4y,75.02916714917548,scal
2019,4y,126.89702804934737,Asym
2019,4y,617.09020810295,xmid
2019,4y,210.72199761025692,scal
2019,2y,114.50910445205355,Asym
2019,2y,648.8430286457378,xmid
2019,2y,218.21870171874076,scal
2020,2y,89.02998378891121,Asym
2020,2y,509.3803907727895,xmid
2020,2y,122.83836676802132,scal
2020,4y,91.07452995931595,Asym
2020,4y,469.1654102866077,xmid
2020,4y,116.32448844426011,scal
