term,contrast,null.value,estimate,std.error,df,statistic,p.value,param
rotation,2y - 4y,0,-8.462915804593356,2.9756216431899474,130,-2.844083293977147,0.005175234868424822,Asym
rotation,2y - 4y,0,19.119202263426786,14.479020607340995,130,1.3204762105064742,0.18899612303094107,xmid
