year,date,doy,plot_id,subrep_id,rootdepth_cm,cum_gdd
2018,2018-05-08,128,2018_13,2018_13-1,0,0
2018,2018-05-08,128,2018_13,2018_13-2,0,0
2018,2018-05-08,128,2018_13,2018_13-3,0,0
2018,2018-05-08,128,2018_13,2018_13-4,0,0
2018,2018-05-08,128,2018_18,2018_18-1,0,0
2018,2018-05-08,128,2018_18,2018_18-2,0,0
2018,2018-05-08,128,2018_18,2018_18-3,0,0
2018,2018-05-08,128,2018_18,2018_18-4,0,0
2018,2018-05-08,128,2018_24,2018_24-1,0,0
2018,2018-05-08,128,2018_24,2018_24-2,0,0
2018,2018-05-08,128,2018_24,2018_24-3,0,0
2018,2018-05-08,128,2018_24,2018_24-4,0,0
2018,2018-05-08,128,2018_28,2018_28-1,0,0
2018,2018-05-08,128,2018_28,2018_28-2,0,0
2018,2018-05-08,128,2018_28,2018_28-3,0,0
2018,2018-05-08,128,2018_28,2018_28-4,0,0
2018,2018-05-08,128,2018_34,2018_34-1,0,0
2018,2018-05-08,128,2018_34,2018_34-2,0,0
2018,2018-05-08,128,2018_34,2018_34-3,0,0
2018,2018-05-08,128,2018_34,2018_34-4,0,0
2018,2018-05-08,128,2018_37,2018_37-1,0,0
2018,2018-05-08,128,2018_37,2018_37-2,0,0
2018,2018-05-08,128,2018_37,2018_37-3,0,0
2018,2018-05-08,128,2018_37,2018_37-4,0,0
2018,2018-05-08,128,2018_44,2018_44-1,0,0
2018,2018-05-08,128,2018_44,2018_44-2,0,0
2018,2018-05-08,128,2018_44,2018_44-3,0,0
2018,2018-05-08,128,2018_44,2018_44-4,0,0
2018,2018-05-08,128,2018_46,2018_46-1,0,0
2018,2018-05-08,128,2018_46,2018_46-2,0,0
2018,2018-05-08,128,2018_46,2018_46-3,0,0
2018,2018-05-08,128,2018_46,2018_46-4,0,0
2018,2018-05-28,148,2018_13,2018_13-1,10.795,215.316
2018,2018-05-28,148,2018_13,2018_13-2,8.89,215.316
2018,2018-05-28,148,2018_13,2018_13-3,6.35,215.316
2018,2018-05-28,148,2018_13,2018_13-4,9.525,215.316
2018,2018-05-28,148,2018_18,2018_18-1,10.795,215.316
2018,2018-05-28,148,2018_18,2018_18-2,9.525,215.316
2018,2018-05-28,148,2018_18,2018_18-3,9.525,215.316
2018,2018-05-28,148,2018_18,2018_18-4,9.525,215.316
2018,2018-05-28,148,2018_24,2018_24-1,6.35,215.316
2018,2018-05-28,148,2018_24,2018_24-2,8.89,215.316
2018,2018-05-28,148,2018_24,2018_24-3,6.985,215.316
2018,2018-05-28,148,2018_24,2018_24-4,8.89,215.316
2018,2018-05-28,148,2018_28,2018_28-1,7.62,215.316
2018,2018-05-28,148,2018_28,2018_28-2,13.97,215.316
2018,2018-05-28,148,2018_28,2018_28-3,10.16,215.316
2018,2018-05-28,148,2018_28,2018_28-4,10.795,215.316
2018,2018-05-28,148,2018_34,2018_34-1,9.525,215.316
2018,2018-05-28,148,2018_34,2018_34-2,8.255,215.316
2018,2018-05-28,148,2018_34,2018_34-3,9.525,215.316
2018,2018-05-28,148,2018_34,2018_34-4,6.985,215.316
2018,2018-05-28,148,2018_37,2018_37-1,5.715,215.316
2018,2018-05-28,148,2018_37,2018_37-2,10.16,215.316
2018,2018-05-28,148,2018_37,2018_37-3,12.065,215.316
2018,2018-05-28,148,2018_37,2018_37-4,9.525,215.316
2018,2018-05-28,148,2018_44,2018_44-1,8.89,215.316
2018,2018-05-28,148,2018_44,2018_44-2,10.795,215.316
2018,2018-05-28,148,2018_44,2018_44-3,7.62,215.316
2018,2018-05-28,148,2018_44,2018_44-4,8.89,215.316
2018,2018-05-28,148,2018_46,2018_46-1,7.62,215.316
2018,2018-05-28,148,2018_46,2018_46-2,10.16,215.316
2018,2018-05-28,148,2018_46,2018_46-3,7.62,215.316
2018,2018-05-28,148,2018_46,2018_46-4,8.89,215.316
2018,2018-06-04,155,2018_13,2018_13-1,14.605,308.051
2018,2018-06-04,155,2018_13,2018_13-2,27.305,308.051
2018,2018-06-04,155,2018_13,2018_13-3,17.145,308.051
2018,2018-06-04,155,2018_13,2018_13-4,14.605,308.051
2018,2018-06-04,155,2018_18,2018_18-1,24.13,308.051
2018,2018-06-04,155,2018_18,2018_18-2,24.13,308.051
2018,2018-06-04,155,2018_18,2018_18-3,15.24,308.051
2018,2018-06-04,155,2018_18,2018_18-4,20.32,308.051
2018,2018-06-04,155,2018_24,2018_24-1,30.48,308.051
2018,2018-06-04,155,2018_24,2018_24-2,20.955000000000002,308.051
2018,2018-06-04,155,2018_24,2018_24-3,16.51,308.051
2018,2018-06-04,155,2018_24,2018_24-4,11.43,308.051
2018,2018-06-04,155,2018_28,2018_28-1,25.4,308.051
2018,2018-06-04,155,2018_28,2018_28-2,24.13,308.051
