year,doy,eu,block,rot_trt,plot_id,rep_id,depth_cm,resis_Mpa,Estimate,Q2.5,Q97.5,samp
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,0,0,0.027452854622775427,-0.044497874089614475,0.09940358333516533,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,0,0,0.027452854622775427,-0.044497874089614475,0.09940358333516533,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,0,0,0.027452854622775427,-0.044497874089614475,0.09940358333516533,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,2.54,0.861845,0.20454473326746944,0.13620557617165252,0.27288389036328636,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,2.54,0.861845,0.20454473326746944,0.13620557617165252,0.27288389036328636,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,2.54,0.861845,0.20454473326746944,0.13620557617165252,0.27288389036328636,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,5.08,0.9307926,0.3740105504857263,0.30695192557885476,0.4410691753925978,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,5.08,0.9307926,0.3740105504857263,0.30695192557885476,0.4410691753925978,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,5.08,0.9307926,0.3740105504857263,0.30695192557885476,0.4410691753925978,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,7.62,0.4481594,0.528224244851108,0.46087336970969306,0.5955751199925229,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,7.62,0.4481594,0.528224244851108,0.46087336970969306,0.5955751199925229,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,7.62,0.4481594,0.528224244851108,0.46087336970969306,0.5955751199925229,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,10.16,0.6205284,0.6595597549371774,0.5916462594585528,0.7274732504158021,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,10.16,0.6205284,0.6595597549371774,0.5916462594585528,0.7274732504158021,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,10.16,0.6205284,0.6595597549371774,0.5916462594585528,0.7274732504158021,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,12.7,0.689476,0.7606517666742012,0.6929258666775076,0.8283776666708949,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,12.7,0.689476,0.7606517666742012,0.6929258666775076,0.8283776666708949,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,12.7,0.689476,0.7606517666742012,0.6929258666775076,0.8283776666708949,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,15.24,0.7584236,0.8301321551966377,0.7630568934764695,0.8972074169168059,Y2018 130
