year,doy,eu,block,rot_trt,plot_id,rep_id,depth_cm,resis_Mpa,Estimate,Q2.5,Q97.5,samp
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,15.24,0.7584236,0.8301321551966377,0.7630568934764695,0.8972074169168059,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,15.24,0.7584236,0.8301321551966377,0.7630568934764695,0.8972074169168059,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,17.78,0.7928974,0.8726299848431377,0.8056843159610557,0.9395756537252197,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,17.78,0.7928974,0.8726299848431377,0.8056843159610557,0.9395756537252197,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,17.78,0.7928974,0.8726299848431377,0.8056843159610557,0.9395756537252197,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,20.32,0.7928974,0.8930350673090564,0.8255222311884689,0.9605479034296438,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,20.32,0.7928974,0.8930350673090564,0.8255222311884689,0.9605479034296438,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,20.32,0.7928974,0.8930350673090564,0.8255222311884689,0.9605479034296438,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,22.86,0.7584236,0.8962372142897485,0.8282876632712537,0.9641867653082432,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,22.86,0.7584236,0.8962372142897485,0.8282876632712537,0.9641867653082432,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,22.86,0.7584236,0.8962372142897485,0.8282876632712537,0.9641867653082432,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,25.4,0.6205284,0.8870835421926934,0.8195707060721059,0.9545963783132808,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,25.4,0.6205284,0.8870835421926934,0.8195707060721059,0.9545963783132808,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,25.4,0.6205284,0.8870835421926934,0.8195707060721059,0.9545963783132808,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,27.94,0.6205284,0.8702503862738714,0.8033047173917894,0.9371960551559534,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,27.94,0.6205284,0.8702503862738714,0.8033047173917894,0.9371960551559534,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,27.94,0.6205284,0.8702503862738714,0.8033047173917894,0.9371960551559534,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,30.48,0.6550022,0.8503713865013873,0.7832961247812191,0.9174466482215555,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,30.48,0.6550022,0.8503713865013873,0.7832961247812191,0.9174466482215555,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,30.48,0.6550022,0.8503713865013873,0.7832961247812191,0.9174466482215555,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,33.02,0.6550022,0.8320801828433462,0.7643542828466525,0.8998060828400398,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,33.02,0.6550022,0.8320801828433462,0.7643542828466525,0.8998060828400398,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,33.02,0.6550022,0.8320801828433462,0.7643542828466525,0.8998060828400398,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,35.56,0.689476,0.8198743521385786,0.7519608566599539,0.8877878476172033,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,35.56,0.689476,0.8198743521385786,0.7519608566599539,0.8877878476172033,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,35.56,0.689476,0.8198743521385786,0.7519608566599539,0.8877878476172033,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,38.1,0.7239498,0.815122019252627,0.747771144111212,0.8824728943940419,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,38.1,0.7239498,0.815122019252627,0.747771144111212,0.8824728943940419,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,38.1,0.7239498,0.815122019252627,0.747771144111212,0.8824728943940419,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,40.64,0.7239498,0.8160618570777419,0.7490032321708704,0.8831204819846135,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,40.64,0.7239498,0.8160618570777419,0.7490032321708704,0.8831204819846135,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,40.64,0.7239498,0.8160618570777419,0.7490032321708704,0.8831204819846135,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,43.18,0.7928974,0.8207964753769014,0.7524573182810844,0.8891356324727183,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,43.18,0.7928974,0.8207964753769014,0.7524573182810844,0.8891356324727183,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,43.18,0.7928974,0.8207964753769014,0.7524573182810844,0.8891356324727183,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,45.72,0.7584236,0.827428483913083,0.755477755200693,0.8993792126254729,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,45.72,0.7584236,0.827428483913083,0.755477755200693,0.8993792126254729,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-1,45.72,0.7584236,0.827428483913083,0.755477755200693,0.8993792126254729,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,0,0,0.027452854622775427,-0.044497874089614475,0.09940358333516533,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,0,0,0.027452854622775427,-0.044497874089614475,0.09940358333516533,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,0,0,0.027452854622775427,-0.044497874089614475,0.09940358333516533,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,2.54,0.0689476,0.20454473326746944,0.13620557617165252,0.27288389036328636,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,2.54,0.0689476,0.20454473326746944,0.13620557617165252,0.27288389036328636,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,2.54,0.0689476,0.20454473326746944,0.13620557617165252,0.27288389036328636,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,5.08,0.1378952,0.3740105504857263,0.30695192557885476,0.4410691753925978,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,5.08,0.1378952,0.3740105504857263,0.30695192557885476,0.4410691753925978,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,5.08,0.1378952,0.3740105504857263,0.30695192557885476,0.4410691753925978,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,7.62,0.1378952,0.528224244851108,0.46087336970969306,0.5955751199925229,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,7.62,0.1378952,0.528224244851108,0.46087336970969306,0.5955751199925229,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,7.62,0.1378952,0.528224244851108,0.46087336970969306,0.5955751199925229,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,10.16,0.4481594,0.6595597549371774,0.5916462594585528,0.7274732504158021,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,10.16,0.4481594,0.6595597549371774,0.5916462594585528,0.7274732504158021,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,10.16,0.4481594,0.6595597549371774,0.5916462594585528,0.7274732504158021,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,12.7,0.4826332,0.7606517666742012,0.6929258666775076,0.8283776666708949,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,12.7,0.4826332,0.7606517666742012,0.6929258666775076,0.8283776666708949,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,12.7,0.4826332,0.7606517666742012,0.6929258666775076,0.8283776666708949,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,15.24,0.5515808,0.8301321551966377,0.7630568934764695,0.8972074169168059,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,15.24,0.5515808,0.8301321551966377,0.7630568934764695,0.8972074169168059,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,15.24,0.5515808,0.8301321551966377,0.7630568934764695,0.8972074169168059,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,17.78,0.6205284,0.8726299848431377,0.8056843159610557,0.9395756537252197,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,17.78,0.6205284,0.8726299848431377,0.8056843159610557,0.9395756537252197,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,17.78,0.6205284,0.8726299848431377,0.8056843159610557,0.9395756537252197,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,20.32,0.689476,0.8930350673090564,0.8255222311884689,0.9605479034296438,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,20.32,0.689476,0.8930350673090564,0.8255222311884689,0.9605479034296438,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,20.32,0.689476,0.8930350673090564,0.8255222311884689,0.9605479034296438,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,22.86,0.7239498,0.8962372142897485,0.8282876632712537,0.9641867653082432,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,22.86,0.7239498,0.8962372142897485,0.8282876632712537,0.9641867653082432,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,22.86,0.7239498,0.8962372142897485,0.8282876632712537,0.9641867653082432,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,25.4,0.7239498,0.8870835421926934,0.8195707060721059,0.9545963783132808,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,25.4,0.7239498,0.8870835421926934,0.8195707060721059,0.9545963783132808,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,25.4,0.7239498,0.8870835421926934,0.8195707060721059,0.9545963783132808,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,27.94,0.7239498,0.8702503862738714,0.8033047173917894,0.9371960551559534,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,27.94,0.7239498,0.8702503862738714,0.8033047173917894,0.9371960551559534,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,27.94,0.7239498,0.8702503862738714,0.8033047173917894,0.9371960551559534,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,30.48,0.7584236,0.8503713865013873,0.7832961247812191,0.9174466482215555,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,30.48,0.7584236,0.8503713865013873,0.7832961247812191,0.9174466482215555,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,30.48,0.7584236,0.8503713865013873,0.7832961247812191,0.9174466482215555,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,33.02,0.689476,0.8320801828433462,0.7643542828466525,0.8998060828400398,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,33.02,0.689476,0.8320801828433462,0.7643542828466525,0.8998060828400398,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,33.02,0.689476,0.8320801828433462,0.7643542828466525,0.8998060828400398,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,35.56,0.6550022,0.8198743521385786,0.7519608566599539,0.8877878476172033,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,35.56,0.6550022,0.8198743521385786,0.7519608566599539,0.8877878476172033,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,35.56,0.6550022,0.8198743521385786,0.7519608566599539,0.8877878476172033,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,38.1,0.5860546,0.815122019252627,0.747771144111212,0.8824728943940419,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,38.1,0.5860546,0.815122019252627,0.747771144111212,0.8824728943940419,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,38.1,0.5860546,0.815122019252627,0.747771144111212,0.8824728943940419,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,40.64,0.6205284,0.8160618570777419,0.7490032321708704,0.8831204819846135,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,40.64,0.6205284,0.8160618570777419,0.7490032321708704,0.8831204819846135,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,40.64,0.6205284,0.8160618570777419,0.7490032321708704,0.8831204819846135,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,43.18,0.5860546,0.8207964753769014,0.7524573182810844,0.8891356324727183,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,43.18,0.5860546,0.8207964753769014,0.7524573182810844,0.8891356324727183,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,43.18,0.5860546,0.8207964753769014,0.7524573182810844,0.8891356324727183,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,45.72,0.6205284,0.827428483913083,0.755477755200693,0.8993792126254729,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,45.72,0.6205284,0.827428483913083,0.755477755200693,0.8993792126254729,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-10,45.72,0.6205284,0.827428483913083,0.755477755200693,0.8993792126254729,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,0,0.0689476,0.027452854622775427,-0.044497874089614475,0.09940358333516533,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,0,0.0689476,0.027452854622775427,-0.044497874089614475,0.09940358333516533,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,0,0.0689476,0.027452854622775427,-0.044497874089614475,0.09940358333516533,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,2.54,0.1034214,0.20454473326746944,0.13620557617165252,0.27288389036328636,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,2.54,0.1034214,0.20454473326746944,0.13620557617165252,0.27288389036328636,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,2.54,0.1034214,0.20454473326746944,0.13620557617165252,0.27288389036328636,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,5.08,0.344738,0.3740105504857263,0.30695192557885476,0.4410691753925978,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,5.08,0.344738,0.3740105504857263,0.30695192557885476,0.4410691753925978,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,5.08,0.344738,0.3740105504857263,0.30695192557885476,0.4410691753925978,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,7.62,0.5860546,0.528224244851108,0.46087336970969306,0.5955751199925229,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,7.62,0.5860546,0.528224244851108,0.46087336970969306,0.5955751199925229,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,7.62,0.5860546,0.528224244851108,0.46087336970969306,0.5955751199925229,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,10.16,0.7928974,0.6595597549371774,0.5916462594585528,0.7274732504158021,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,10.16,0.7928974,0.6595597549371774,0.5916462594585528,0.7274732504158021,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,10.16,0.7928974,0.6595597549371774,0.5916462594585528,0.7274732504158021,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,12.7,0.7584236,0.7606517666742012,0.6929258666775076,0.8283776666708949,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,12.7,0.7584236,0.7606517666742012,0.6929258666775076,0.8283776666708949,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,12.7,0.7584236,0.7606517666742012,0.6929258666775076,0.8283776666708949,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,15.24,0.8963188,0.8301321551966377,0.7630568934764695,0.8972074169168059,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,15.24,0.8963188,0.8301321551966377,0.7630568934764695,0.8972074169168059,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,15.24,0.8963188,0.8301321551966377,0.7630568934764695,0.8972074169168059,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,17.78,0.7928974,0.8726299848431377,0.8056843159610557,0.9395756537252197,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,17.78,0.7928974,0.8726299848431377,0.8056843159610557,0.9395756537252197,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,17.78,0.7928974,0.8726299848431377,0.8056843159610557,0.9395756537252197,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,20.32,0.8273712,0.8930350673090564,0.8255222311884689,0.9605479034296438,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,20.32,0.8273712,0.8930350673090564,0.8255222311884689,0.9605479034296438,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,20.32,0.8273712,0.8930350673090564,0.8255222311884689,0.9605479034296438,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,22.86,0.7928974,0.8962372142897485,0.8282876632712537,0.9641867653082432,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,22.86,0.7928974,0.8962372142897485,0.8282876632712537,0.9641867653082432,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,22.86,0.7928974,0.8962372142897485,0.8282876632712537,0.9641867653082432,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,25.4,0.7584236,0.8870835421926934,0.8195707060721059,0.9545963783132808,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,25.4,0.7584236,0.8870835421926934,0.8195707060721059,0.9545963783132808,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,25.4,0.7584236,0.8870835421926934,0.8195707060721059,0.9545963783132808,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,27.94,0.6550022,0.8702503862738714,0.8033047173917894,0.9371960551559534,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,27.94,0.6550022,0.8702503862738714,0.8033047173917894,0.9371960551559534,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,27.94,0.6550022,0.8702503862738714,0.8033047173917894,0.9371960551559534,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,30.48,0.689476,0.8503713865013873,0.7832961247812191,0.9174466482215555,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,30.48,0.689476,0.8503713865013873,0.7832961247812191,0.9174466482215555,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,30.48,0.689476,0.8503713865013873,0.7832961247812191,0.9174466482215555,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,33.02,0.689476,0.8320801828433462,0.7643542828466525,0.8998060828400398,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,33.02,0.689476,0.8320801828433462,0.7643542828466525,0.8998060828400398,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,33.02,0.689476,0.8320801828433462,0.7643542828466525,0.8998060828400398,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,35.56,0.6550022,0.8198743521385786,0.7519608566599539,0.8877878476172033,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,35.56,0.6550022,0.8198743521385786,0.7519608566599539,0.8877878476172033,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,35.56,0.6550022,0.8198743521385786,0.7519608566599539,0.8877878476172033,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,38.1,0.5515808,0.815122019252627,0.747771144111212,0.8824728943940419,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,38.1,0.5515808,0.815122019252627,0.747771144111212,0.8824728943940419,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,38.1,0.5515808,0.815122019252627,0.747771144111212,0.8824728943940419,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,40.64,0.5515808,0.8160618570777419,0.7490032321708704,0.8831204819846135,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,40.64,0.5515808,0.8160618570777419,0.7490032321708704,0.8831204819846135,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,40.64,0.5515808,0.8160618570777419,0.7490032321708704,0.8831204819846135,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,43.18,0.5515808,0.8207964753769014,0.7524573182810844,0.8891356324727183,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,43.18,0.5515808,0.8207964753769014,0.7524573182810844,0.8891356324727183,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,43.18,0.5515808,0.8207964753769014,0.7524573182810844,0.8891356324727183,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,45.72,0.6205284,0.827428483913083,0.755477755200693,0.8993792126254729,Y2018 130
Y2018,130,Y2018 130 b1 2y,b1,2y,2018_13,2018_13-2,45.72,0.6205284,0.827428483913083,0.755477755200693,0.8993792126254729,Y2018 130
