year,doy,block,plot_id,rep_id,rot_trt,harv_crop,depth_cm,resis_kpa
2019,162,b1,2019_12,2019_12-1,4y,C4,0,69
2019,162,b1,2019_12,2019_12-1,4y,C4,2.5,448
2019,162,b1,2019_12,2019_12-1,4y,C4,5,448
2019,162,b1,2019_12,2019_12-1,4y,C4,7.5,518
2019,162,b1,2019_12,2019_12-1,4y,C4,10,552
2019,162,b1,2019_12,2019_12-1,4y,C4,12.5,518
2019,162,b1,2019_12,2019_12-1,4y,C4,15,518
2019,162,b1,2019_12,2019_12-1,4y,C4,17.5,552
2019,162,b1,2019_12,2019_12-1,4y,C4,20,656
2019,162,b1,2019_12,2019_12-1,4y,C4,22.5,656
2019,162,b1,2019_12,2019_12-1,4y,C4,25,794
2019,162,b1,2019_12,2019_12-1,4y,C4,27.5,794
2019,162,b1,2019_12,2019_12-1,4y,C4,30,794
2019,162,b1,2019_12,2019_12-1,4y,C4,32.5,897
2019,162,b1,2019_12,2019_12-1,4y,C4,35,1070
2019,162,b1,2019_12,2019_12-1,4y,C4,37.5,932
2019,162,b1,2019_12,2019_12-1,4y,C4,40,862
2019,162,b1,2019_12,2019_12-1,4y,C4,42.5,862
2019,162,b1,2019_12,2019_12-1,4y,C4,45,794
2019,162,b1,2019_12,2019_12-10,4y,C4,0,448
2019,162,b1,2019_12,2019_12-10,4y,C4,2.5,448
2019,162,b1,2019_12,2019_12-10,4y,C4,5,448
2019,162,b1,2019_12,2019_12-10,4y,C4,7.5,448
2019,162,b1,2019_12,2019_12-10,4y,C4,10,448
2019,162,b1,2019_12,2019_12-10,4y,C4,12.5,518
2019,162,b1,2019_12,2019_12-10,4y,C4,15,483
2019,162,b1,2019_12,2019_12-10,4y,C4,17.5,656
2019,162,b1,2019_12,2019_12-10,4y,C4,20,794
2019,162,b1,2019_12,2019_12-10,4y,C4,22.5,932
2019,162,b1,2019_12,2019_12-10,4y,C4,25,966
2019,162,b1,2019_12,2019_12-10,4y,C4,27.5,1173
2019,162,b1,2019_12,2019_12-10,4y,C4,30,1104
2019,162,b1,2019_12,2019_12-10,4y,C4,32.5,1138
2019,162,b1,2019_12,2019_12-10,4y,C4,35,1173
2019,162,b1,2019_12,2019_12-10,4y,C4,37.5,1173
2019,162,b1,2019_12,2019_12-10,4y,C4,40,1208
2019,162,b1,2019_12,2019_12-2,4y,C4,0,34
2019,162,b1,2019_12,2019_12-2,4y,C4,2.5,69
2019,162,b1,2019_12,2019_12-2,4y,C4,5,414
2019,162,b1,2019_12,2019_12-2,4y,C4,7.5,310
2019,162,b1,2019_12,2019_12-2,4y,C4,10,380
2019,162,b1,2019_12,2019_12-2,4y,C4,12.5,518
2019,162,b1,2019_12,2019_12-2,4y,C4,15,518
2019,162,b1,2019_12,2019_12-2,4y,C4,17.5,724
2019,162,b1,2019_12,2019_12-2,4y,C4,20,621
2019,162,b1,2019_12,2019_12-2,4y,C4,22.5,621
2019,162,b1,2019_12,2019_12-2,4y,C4,25,1070
2019,162,b1,2019_12,2019_12-2,4y,C4,27.5,1000
2019,162,b1,2019_12,2019_12-2,4y,C4,30,966
2019,162,b1,2019_12,2019_12-2,4y,C4,32.5,1104
2019,162,b1,2019_12,2019_12-2,4y,C4,35,1173
2019,162,b1,2019_12,2019_12-2,4y,C4,37.5,1173
2019,162,b1,2019_12,2019_12-2,4y,C4,40,1173
2019,162,b1,2019_12,2019_12-2,4y,C4,42.5,1208
2019,162,b1,2019_12,2019_12-3,4y,C4,0,69
2019,162,b1,2019_12,2019_12-3,4y,C4,2.5,621
2019,162,b1,2019_12,2019_12-3,4y,C4,5,621
2019,162,b1,2019_12,2019_12-3,4y,C4,7.5,621
2019,162,b1,2019_12,2019_12-3,4y,C4,10,586
2019,162,b1,2019_12,2019_12-3,4y,C4,12.5,552
2019,162,b1,2019_12,2019_12-3,4y,C4,15,552
2019,162,b1,2019_12,2019_12-3,4y,C4,17.5,518
2019,162,b1,2019_12,2019_12-3,4y,C4,20,483
2019,162,b1,2019_12,2019_12-3,4y,C4,22.5,621
2019,162,b1,2019_12,2019_12-3,4y,C4,25,724
2019,162,b1,2019_12,2019_12-3,4y,C4,27.5,794
2019,162,b1,2019_12,2019_12-3,4y,C4,30,828
2019,162,b1,2019_12,2019_12-3,4y,C4,32.5,794
2019,162,b1,2019_12,2019_12-3,4y,C4,35,794
2019,162,b1,2019_12,2019_12-3,4y,C4,37.5,794
2019,162,b1,2019_12,2019_12-3,4y,C4,40,862
2019,162,b1,2019_12,2019_12-3,4y,C4,42.5,759
2019,162,b1,2019_12,2019_12-3,4y,C4,45,862
2019,162,b1,2019_12,2019_12-4,4y,C4,0,207
2019,162,b1,2019_12,2019_12-4,4y,C4,2.5,380
2019,162,b1,2019_12,2019_12-4,4y,C4,5,380
2019,162,b1,2019_12,2019_12-4,4y,C4,7.5,483
2019,162,b1,2019_12,2019_12-4,4y,C4,10,621
2019,162,b1,2019_12,2019_12-4,4y,C4,12.5,518
2019,162,b1,2019_12,2019_12-4,4y,C4,15,483
2019,162,b1,2019_12,2019_12-4,4y,C4,17.5,621
2019,162,b1,2019_12,2019_12-4,4y,C4,20,828
2019,162,b1,2019_12,2019_12-4,4y,C4,22.5,897
2019,162,b1,2019_12,2019_12-4,4y,C4,25,862
2019,162,b1,2019_12,2019_12-4,4y,C4,27.5,1138
2019,162,b1,2019_12,2019_12-4,4y,C4,30,1311
2019,162,b1,2019_12,2019_12-4,4y,C4,32.5,1518
2019,162,b1,2019_12,2019_12-4,4y,C4,35,1518
