year,doy,block,plot_id,rep_id,rot_trt,harv_crop,depth_cm,resis_kpa
2020,175,b1,2020_13,2020_13-5,2y,C2,0,0
2020,175,b1,2020_13,2020_13-5,2y,C2,2.5,69
2020,175,b1,2020_13,2020_13-5,2y,C2,5,207
2020,175,b1,2020_13,2020_13-5,2y,C2,7.5,828
2020,175,b1,2020_13,2020_13-5,2y,C2,10,2001
2020,175,b1,2020_13,2020_13-5,2y,C2,12.5,2346
2020,175,b1,2020_13,2020_13-5,2y,C2,15,2312
2020,175,b1,2020_13,2020_13-5,2y,C2,17.5,2346
2020,175,b1,2020_13,2020_13-5,2y,C2,20,2104
2020,175,b1,2020_13,2020_13-5,2y,C2,22.5,1898
2020,175,b1,2020_13,2020_13-5,2y,C2,25,1587
2020,175,b1,2020_13,2020_13-5,2y,C2,27.5,1414
2020,175,b1,2020_13,2020_13-5,2y,C2,30,1449
2020,175,b1,2020_13,2020_13-5,2y,C2,32.5,1414
2020,175,b1,2020_13,2020_13-5,2y,C2,35,1311
2020,175,b1,2020_13,2020_13-5,2y,C2,37.5,1449
2020,175,b1,2020_13,2020_13-5,2y,C2,40,1449
2020,175,b1,2020_13,2020_13-5,2y,C2,42.5,1449
2020,175,b1,2020_13,2020_13-6,2y,C2,0,69
2020,175,b1,2020_13,2020_13-6,2y,C2,2.5,104
2020,175,b1,2020_13,2020_13-6,2y,C2,5,794
2020,175,b1,2020_13,2020_13-6,2y,C2,7.5,2242
2020,175,b1,2020_13,2020_13-6,2y,C2,10,4450
2020,175,b1,2020_13,2020_13-6,2y,C2,12.5,4934
2020,175,b1,2020_13,2020_13-6,2y,C2,15,3830
2020,175,b1,2020_13,2020_13-6,2y,C2,17.5,2794
2020,175,b1,2020_13,2020_13-6,2y,C2,20,2208
2020,175,b1,2020_13,2020_13-6,2y,C2,22.5,2242
2020,175,b1,2020_13,2020_13-6,2y,C2,25,1898
2020,175,b1,2020_13,2020_13-6,2y,C2,27.5,1898
2020,175,b1,2020_13,2020_13-6,2y,C2,30,1863
2020,175,b1,2020_13,2020_13-6,2y,C2,32.5,1794
2020,175,b1,2020_13,2020_13-6,2y,C2,35,1690
2020,175,b1,2020_13,2020_13-6,2y,C2,37.5,1656
2020,175,b1,2020_13,2020_13-6,2y,C2,40,1587
2020,175,b1,2020_13,2020_13-6,2y,C2,42.5,1622
2020,175,b1,2020_13,2020_13-7,2y,C2,0,0
2020,175,b1,2020_13,2020_13-7,2y,C2,2.5,1690
2020,175,b1,2020_13,2020_13-7,2y,C2,5,1828
2020,175,b1,2020_13,2020_13-7,2y,C2,7.5,1863
2020,175,b1,2020_13,2020_13-7,2y,C2,10,2104
2020,175,b1,2020_13,2020_13-7,2y,C2,12.5,1622
2020,175,b1,2020_13,2020_13-7,2y,C2,15,1484
2020,175,b1,2020_13,2020_13-7,2y,C2,17.5,1414
2020,175,b1,2020_13,2020_13-7,2y,C2,20,1552
2020,175,b1,2020_13,2020_13-7,2y,C2,22.5,1760
2020,175,b1,2020_13,2020_13-7,2y,C2,25,1587
2020,175,b1,2020_13,2020_13-7,2y,C2,27.5,1311
2020,175,b1,2020_13,2020_13-7,2y,C2,30,1208
2020,175,b1,2020_13,2020_13-7,2y,C2,32.5,1173
