year,doy,block,plot_id,rep_id,rot_trt,harv_crop,depth_cm,resis_kpa
2018,197,b1,2018_13,2018_13-11,2y,C2,0,104
2018,197,b1,2018_13,2018_13-11,2y,C2,2.5,656
2018,197,b1,2018_13,2018_13-11,2y,C2,5,1828
2018,197,b1,2018_13,2018_13-11,2y,C2,7.5,1690
2018,197,b1,2018_13,2018_13-11,2y,C2,10,1242
2018,197,b1,2018_13,2018_13-11,2y,C2,12.5,1242
2018,197,b1,2018_13,2018_13-11,2y,C2,15,1104
2018,197,b1,2018_13,2018_13-11,2y,C2,17.5,966
2018,197,b1,2018_13,2018_13-11,2y,C2,20,1000
2018,197,b1,2018_13,2018_13-11,2y,C2,22.5,897
2018,197,b1,2018_13,2018_13-11,2y,C2,25,862
2018,197,b1,2018_13,2018_13-11,2y,C2,27.5,862
2018,197,b1,2018_13,2018_13-11,2y,C2,30,794
2018,197,b1,2018_13,2018_13-11,2y,C2,32.5,794
2018,197,b1,2018_13,2018_13-11,2y,C2,35,724
2018,197,b1,2018_13,2018_13-11,2y,C2,37.5,759
2018,197,b1,2018_13,2018_13-11,2y,C2,40,656
2018,197,b1,2018_13,2018_13-12,2y,C2,0,656
2018,197,b1,2018_13,2018_13-12,2y,C2,2.5,1242
2018,197,b1,2018_13,2018_13-12,2y,C2,5,1587
2018,197,b1,2018_13,2018_13-12,2y,C2,7.5,1449
2018,197,b1,2018_13,2018_13-12,2y,C2,10,1346
2018,197,b1,2018_13,2018_13-12,2y,C2,12.5,1518
2018,197,b1,2018_13,2018_13-12,2y,C2,15,1587
2018,197,b1,2018_13,2018_13-12,2y,C2,17.5,1656
2018,197,b1,2018_13,2018_13-12,2y,C2,20,1587
2018,197,b1,2018_13,2018_13-12,2y,C2,22.5,1552
2018,197,b1,2018_13,2018_13-12,2y,C2,25,1518
2018,197,b1,2018_13,2018_13-12,2y,C2,27.5,1518
2018,197,b1,2018_13,2018_13-12,2y,C2,30,1311
2018,197,b1,2018_13,2018_13-12,2y,C2,32.5,1173
2018,197,b1,2018_13,2018_13-12,2y,C2,35,1242
2018,197,b1,2018_13,2018_13-12,2y,C2,37.5,1208
2018,197,b1,2018_13,2018_13-12,2y,C2,40,1104
2018,197,b1,2018_13,2018_13-13,2y,C2,0,69
2018,197,b1,2018_13,2018_13-13,2y,C2,2.5,759
2018,197,b1,2018_13,2018_13-13,2y,C2,5,1794
2018,197,b1,2018_13,2018_13-13,2y,C2,7.5,1346
2018,197,b1,2018_13,2018_13-13,2y,C2,10,1138
2018,197,b1,2018_13,2018_13-13,2y,C2,12.5,1449
2018,197,b1,2018_13,2018_13-13,2y,C2,15,1484
2018,197,b1,2018_13,2018_13-13,2y,C2,17.5,1346
2018,197,b1,2018_13,2018_13-13,2y,C2,20,1311
2018,197,b1,2018_13,2018_13-13,2y,C2,22.5,1346
2018,197,b1,2018_13,2018_13-13,2y,C2,25,1242
2018,197,b1,2018_13,2018_13-13,2y,C2,27.5,1208
2018,197,b1,2018_13,2018_13-13,2y,C2,30,1070
2018,197,b1,2018_13,2018_13-13,2y,C2,32.5,1104
2018,197,b1,2018_13,2018_13-13,2y,C2,35,1242
2018,197,b1,2018_13,2018_13-13,2y,C2,37.5,1242
2018,197,b1,2018_13,2018_13-13,2y,C2,40,1173
2018,197,b1,2018_13,2018_13-14,2y,C2,0,724
2018,197,b1,2018_13,2018_13-14,2y,C2,2.5,1311
2018,197,b1,2018_13,2018_13-14,2y,C2,5,1518
2018,197,b1,2018_13,2018_13-14,2y,C2,7.5,1311
2018,197,b1,2018_13,2018_13-14,2y,C2,10,1208
2018,197,b1,2018_13,2018_13-14,2y,C2,12.5,1070
2018,197,b1,2018_13,2018_13-14,2y,C2,15,932
2018,197,b1,2018_13,2018_13-14,2y,C2,17.5,1070
2018,197,b1,2018_13,2018_13-14,2y,C2,20,1104
2018,197,b1,2018_13,2018_13-14,2y,C2,22.5,966
2018,197,b1,2018_13,2018_13-14,2y,C2,25,897
2018,197,b1,2018_13,2018_13-14,2y,C2,27.5,828
2018,197,b1,2018_13,2018_13-14,2y,C2,30,862
2018,197,b1,2018_13,2018_13-14,2y,C2,32.5,932
2018,197,b1,2018_13,2018_13-14,2y,C2,35,966
2018,197,b1,2018_13,2018_13-14,2y,C2,37.5,794
2018,197,b1,2018_13,2018_13-14,2y,C2,40,759
2018,197,b1,2018_13,2018_13-15,2y,C2,0,518
2018,197,b1,2018_13,2018_13-15,2y,C2,2.5,1760
2018,197,b1,2018_13,2018_13-15,2y,C2,5,2104
2018,197,b1,2018_13,2018_13-15,2y,C2,7.5,1828
2018,197,b1,2018_13,2018_13-15,2y,C2,10,1863
2018,197,b1,2018_13,2018_13-15,2y,C2,12.5,1898
2018,197,b1,2018_13,2018_13-15,2y,C2,15,1690
2018,197,b1,2018_13,2018_13-15,2y,C2,17.5,1518
2018,197,b1,2018_13,2018_13-15,2y,C2,20,1414
2018,197,b1,2018_13,2018_13-15,2y,C2,22.5,1104
2018,197,b1,2018_13,2018_13-15,2y,C2,25,897
2018,197,b1,2018_13,2018_13-15,2y,C2,27.5,1070
2018,197,b1,2018_13,2018_13-15,2y,C2,30,1070
2018,197,b1,2018_13,2018_13-15,2y,C2,32.5,1070
2018,197,b1,2018_13,2018_13-15,2y,C2,35,966
2018,197,b1,2018_13,2018_13-15,2y,C2,37.5,932
2018,197,b1,2018_13,2018_13-15,2y,C2,40,1311
2018,197,b1,2018_13,2018_13-16,2y,C2,0,380
2018,197,b1,2018_13,2018_13-16,2y,C2,2.5,1518
2018,197,b1,2018_13,2018_13-16,2y,C2,5,2450
2018,197,b1,2018_13,2018_13-16,2y,C2,7.5,2104
2018,197,b1,2018_13,2018_13-16,2y,C2,10,1760
2018,197,b1,2018_13,2018_13-16,2y,C2,12.5,1828
2018,197,b1,2018_13,2018_13-16,2y,C2,15,1794
2018,197,b1,2018_13,2018_13-16,2y,C2,17.5,1690
2018,197,b1,2018_13,2018_13-16,2y,C2,20,1690
2018,197,b1,2018_13,2018_13-16,2y,C2,22.5,1484
2018,197,b1,2018_13,2018_13-16,2y,C2,25,1242
2018,197,b1,2018_13,2018_13-16,2y,C2,27.5,1208
2018,197,b1,2018_13,2018_13-16,2y,C2,30,1208
2018,197,b1,2018_13,2018_13-16,2y,C2,32.5,1173
2018,197,b1,2018_13,2018_13-16,2y,C2,35,1242
2018,197,b1,2018_13,2018_13-16,2y,C2,37.5,1242
2018,197,b1,2018_13,2018_13-16,2y,C2,40,1104
2018,197,b1,2018_13,2018_13-17,2y,C2,0,656
2018,197,b1,2018_13,2018_13-17,2y,C2,2.5,1173
2018,197,b1,2018_13,2018_13-17,2y,C2,5,862
2018,197,b1,2018_13,2018_13-17,2y,C2,7.5,2242
2018,197,b1,2018_13,2018_13-17,2y,C2,10,2001
2018,197,b1,2018_13,2018_13-17,2y,C2,12.5,1622
2018,197,b1,2018_13,2018_13-17,2y,C2,15,1966
