year,doy,block,plot_id,rep_id,rot_trt,harv_crop,depth_cm,resis_kpa
2018,130,b1,2018_13,2018_13-1,2y,C2,0,0
2018,130,b1,2018_13,2018_13-1,2y,C2,2.54,861.845
2018,130,b1,2018_13,2018_13-1,2y,C2,5.08,930.7926
2018,130,b1,2018_13,2018_13-1,2y,C2,7.62,448.1594
2018,130,b1,2018_13,2018_13-1,2y,C2,10.16,620.5284
2018,130,b1,2018_13,2018_13-1,2y,C2,12.7,689.476
2018,130,b1,2018_13,2018_13-1,2y,C2,15.24,758.4236
2018,130,b1,2018_13,2018_13-1,2y,C2,17.78,792.8974
2018,130,b1,2018_13,2018_13-1,2y,C2,20.32,792.8974
2018,130,b1,2018_13,2018_13-1,2y,C2,22.86,758.4236
2018,130,b1,2018_13,2018_13-1,2y,C2,25.4,620.5284
2018,130,b1,2018_13,2018_13-1,2y,C2,27.94,620.5284
2018,130,b1,2018_13,2018_13-1,2y,C2,30.48,655.0022
2018,130,b1,2018_13,2018_13-1,2y,C2,33.02,655.0022
2018,130,b1,2018_13,2018_13-1,2y,C2,35.56,689.476
2018,130,b1,2018_13,2018_13-1,2y,C2,38.1,723.9498
2018,130,b1,2018_13,2018_13-1,2y,C2,40.64,723.9498
2018,130,b1,2018_13,2018_13-1,2y,C2,43.18,792.8974
2018,130,b1,2018_13,2018_13-1,2y,C2,45.72,758.4236
2018,130,b1,2018_13,2018_13-10,2y,C2,0,0
2018,130,b1,2018_13,2018_13-10,2y,C2,2.54,68.9476
2018,130,b1,2018_13,2018_13-10,2y,C2,5.08,137.8952
2018,130,b1,2018_13,2018_13-10,2y,C2,7.62,137.8952
2018,130,b1,2018_13,2018_13-10,2y,C2,10.16,448.1594
2018,130,b1,2018_13,2018_13-10,2y,C2,12.7,482.6332
2018,130,b1,2018_13,2018_13-10,2y,C2,15.24,551.5808
2018,130,b1,2018_13,2018_13-10,2y,C2,17.78,620.5284
2018,130,b1,2018_13,2018_13-10,2y,C2,20.32,689.476
2018,130,b1,2018_13,2018_13-10,2y,C2,22.86,723.9498
2018,130,b1,2018_13,2018_13-10,2y,C2,25.4,723.9498
2018,130,b1,2018_13,2018_13-10,2y,C2,27.94,723.9498
2018,130,b1,2018_13,2018_13-10,2y,C2,30.48,758.4236
2018,130,b1,2018_13,2018_13-10,2y,C2,33.02,689.476
2018,130,b1,2018_13,2018_13-10,2y,C2,35.56,655.0022
2018,130,b1,2018_13,2018_13-10,2y,C2,38.1,586.0545999999999
2018,130,b1,2018_13,2018_13-10,2y,C2,40.64,620.5284
